,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
0,1989,ANDHRA PRADESH,SRIKAKULAM,INC,42.6
1,1989,ANDHRA PRADESH,SRIKAKULAM,TDP,37.78
2,1989,ANDHRA PRADESH,SRIKAKULAM,IND,15.06
3,1989,ANDHRA PRADESH,SRIKAKULAM,BJP,1.96
4,1989,ANDHRA PRADESH,SRIKAKULAM,IND,1.05
5,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.91
6,1989,ANDHRA PRADESH,SRIKAKULAM,JP,0.51
7,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.14
8,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),INC,53.01
9,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),ICS(SCS),43.61
10,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,2.41
11,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,0.97
12,1989,ANDHRA PRADESH,BOBBILI,INC,49.59
13,1989,ANDHRA PRADESH,BOBBILI,TDP,44.62
14,1989,ANDHRA PRADESH,BOBBILI,BJP,2.61
15,1989,ANDHRA PRADESH,BOBBILI,IND,1.94
16,1989,ANDHRA PRADESH,BOBBILI,IND,0.54
17,1989,ANDHRA PRADESH,BOBBILI,IND,0.24
18,1989,ANDHRA PRADESH,BOBBILI,IND,0.21
19,1989,ANDHRA PRADESH,BOBBILI,IND,0.16
20,1989,ANDHRA PRADESH,BOBBILI,IND,0.1
21,1989,ANDHRA PRADESH,VISAKHAPATNAM,TDP,45.82
22,1989,ANDHRA PRADESH,VISAKHAPATNAM,INC,45.0
23,1989,ANDHRA PRADESH,VISAKHAPATNAM,BJP,6.28
24,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.99
25,1989,ANDHRA PRADESH,VISAKHAPATNAM,JP,0.38
26,1989,ANDHRA PRADESH,VISAKHAPATNAM,BSP,0.34
27,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.29
28,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.27
29,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.19
30,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.18
31,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.13
32,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.12
33,1989,ANDHRA PRADESH,BHADRACHALAM (ST),INC,48.23
34,1989,ANDHRA PRADESH,BHADRACHALAM (ST),CPI,39.31
35,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BJP,3.92
36,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,3.4
37,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,1.84
38,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BSP,1.36
39,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.77
40,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.64
41,1989,ANDHRA PRADESH,BHADRACHALAM (ST),JP,0.53
42,1989,ANDHRA PRADESH,ANAKAPALLI,INC,44.67
43,1989,ANDHRA PRADESH,ANAKAPALLI,TDP,42.76
44,1989,ANDHRA PRADESH,ANAKAPALLI,BJP,7.82
45,1989,ANDHRA PRADESH,ANAKAPALLI,IND,2.43
46,1989,ANDHRA PRADESH,ANAKAPALLI,JP,0.93
47,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.76
48,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.56
49,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.07
50,1989,ANDHRA PRADESH,KAKINADA,TDP,48.85
51,1989,ANDHRA PRADESH,KAKINADA,INC,42.85
52,1989,ANDHRA PRADESH,KAKINADA,BJP,3.55
53,1989,ANDHRA PRADESH,KAKINADA,IPF,1.24
54,1989,ANDHRA PRADESH,KAKINADA,BSP,1.15
55,1989,ANDHRA PRADESH,KAKINADA,IND,0.91
56,1989,ANDHRA PRADESH,KAKINADA,JP,0.77
57,1989,ANDHRA PRADESH,KAKINADA,IND,0.25
58,1989,ANDHRA PRADESH,KAKINADA,IND,0.18
59,1989,ANDHRA PRADESH,KAKINADA,IND,0.17
60,1989,ANDHRA PRADESH,KAKINADA,IND,0.09
61,1989,ANDHRA PRADESH,RAJAHMUNDRY,TDP,51.54
62,1989,ANDHRA PRADESH,RAJAHMUNDRY,INC,41.41
63,1989,ANDHRA PRADESH,RAJAHMUNDRY,BJP,3.91
64,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,1.09
65,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.8
66,1989,ANDHRA PRADESH,RAJAHMUNDRY,BSP,0.42
67,1989,ANDHRA PRADESH,RAJAHMUNDRY,JP,0.23
68,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.16
69,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.14
70,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.11
71,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.08
72,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.07
73,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.03
74,1989,ANDHRA PRADESH,AMALAPURAM (SC),TDP,53.19
75,1989,ANDHRA PRADESH,AMALAPURAM (SC),INC,36.18
76,1989,ANDHRA PRADESH,AMALAPURAM (SC),BJP,5.54
77,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,1.79
78,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,1.77
79,1989,ANDHRA PRADESH,AMALAPURAM (SC),BSP,0.6
80,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.35
81,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.2
82,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.16
83,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.15
84,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.07
85,1989,ANDHRA PRADESH,NARASAPUR,TDP,51.93
86,1989,ANDHRA PRADESH,NARASAPUR,INC,42.36
87,1989,ANDHRA PRADESH,NARASAPUR,BJP,4.61
88,1989,ANDHRA PRADESH,NARASAPUR,JP,0.32
89,1989,ANDHRA PRADESH,NARASAPUR,BSP,0.21
90,1989,ANDHRA PRADESH,NARASAPUR,IND,0.13
91,1989,ANDHRA PRADESH,NARASAPUR,IND,0.11
92,1989,ANDHRA PRADESH,NARASAPUR,IND,0.08
93,1989,ANDHRA PRADESH,NARASAPUR,IND,0.07
94,1989,ANDHRA PRADESH,NARASAPUR,IND,0.05
95,1989,ANDHRA PRADESH,NARASAPUR,IND,0.04
96,1989,ANDHRA PRADESH,NARASAPUR,IND,0.04
97,1989,ANDHRA PRADESH,NARASAPUR,MCPI,0.04
98,1989,ANDHRA PRADESH,ELURU,TDP,52.45
99,1989,ANDHRA PRADESH,ELURU,INC,45.51
100,1989,ANDHRA PRADESH,ELURU,BJP,0.82
101,1989,ANDHRA PRADESH,ELURU,IND,0.35
102,1989,ANDHRA PRADESH,ELURU,JP,0.33
103,1989,ANDHRA PRADESH,ELURU,IND,0.11
104,1989,ANDHRA PRADESH,ELURU,IND,0.09
105,1989,ANDHRA PRADESH,ELURU,MCPI,0.08
106,1989,ANDHRA PRADESH,ELURU,IND,0.06
107,1989,ANDHRA PRADESH,ELURU,IND,0.05
108,1989,ANDHRA PRADESH,ELURU,IND,0.05
109,1989,ANDHRA PRADESH,ELURU,IND,0.04
110,1989,ANDHRA PRADESH,ELURU,IND,0.03
111,1989,ANDHRA PRADESH,ELURU,IND,0.03
112,1989,ANDHRA PRADESH,MACHILIPATNAM,TDP,49.02
113,1989,ANDHRA PRADESH,MACHILIPATNAM,INC,44.53
114,1989,ANDHRA PRADESH,MACHILIPATNAM,BJP,3.99
115,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.73
116,1989,ANDHRA PRADESH,MACHILIPATNAM,BSP,0.31
117,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.17
118,1989,ANDHRA PRADESH,MACHILIPATNAM,JP,0.16
119,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.11
120,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.11
121,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.1
122,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.08
123,1989,ANDHRA PRADESH,MACHILIPATNAM,NBP,0.08
124,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.08
125,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.07
126,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.06
127,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.06
128,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.05
129,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.05
130,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.04
131,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.04
132,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
133,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
134,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
135,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
136,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.02
137,1989,ANDHRA PRADESH,VIJAYAWADA,TDP,48.89
138,1989,ANDHRA PRADESH,VIJAYAWADA,INC,43.47
139,1989,ANDHRA PRADESH,VIJAYAWADA,BJP,4.19
140,1989,ANDHRA PRADESH,VIJAYAWADA,IND,1.74
141,1989,ANDHRA PRADESH,VIJAYAWADA,BSP,0.28
142,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.25
143,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.24
144,1989,ANDHRA PRADESH,VIJAYAWADA,JP,0.18
145,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.16
146,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.12
147,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.11
148,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.1
149,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.08
150,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.05
151,1989,ANDHRA PRADESH,VIJAYAWADA,NBP,0.04
152,1989,ANDHRA PRADESH,VIJAYAWADA,MSD,0.04
153,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.03
154,1989,ANDHRA PRADESH,VIJAYAWADA,BKUS,0.02
155,1989,ANDHRA PRADESH,TENALI,TDP,47.74
156,1989,ANDHRA PRADESH,TENALI,INC,45.82
157,1989,ANDHRA PRADESH,TENALI,BJP,4.8
158,1989,ANDHRA PRADESH,TENALI,IND,1.1
159,1989,ANDHRA PRADESH,TENALI,BSP,0.23
160,1989,ANDHRA PRADESH,TENALI,IND,0.15
161,1989,ANDHRA PRADESH,TENALI,IND,0.07
162,1989,ANDHRA PRADESH,TENALI,IND,0.05
163,1989,ANDHRA PRADESH,TENALI,IND,0.04
164,1989,ANDHRA PRADESH,GUNTUR,TDP,47.55
165,1989,ANDHRA PRADESH,GUNTUR,INC,45.27
166,1989,ANDHRA PRADESH,GUNTUR,BJP,3.88
167,1989,ANDHRA PRADESH,GUNTUR,IND,1.41
168,1989,ANDHRA PRADESH,GUNTUR,JP,0.27
169,1989,ANDHRA PRADESH,GUNTUR,BSP,0.25
170,1989,ANDHRA PRADESH,GUNTUR,IND,0.22
171,1989,ANDHRA PRADESH,GUNTUR,IND,0.22
172,1989,ANDHRA PRADESH,GUNTUR,IND,0.14
173,1989,ANDHRA PRADESH,GUNTUR,IND,0.11
174,1989,ANDHRA PRADESH,GUNTUR,RPK,0.09
175,1989,ANDHRA PRADESH,GUNTUR,IND,0.09
176,1989,ANDHRA PRADESH,GUNTUR,IND,0.08
177,1989,ANDHRA PRADESH,GUNTUR,IND,0.08
178,1989,ANDHRA PRADESH,GUNTUR,IND,0.06
179,1989,ANDHRA PRADESH,GUNTUR,IND,0.06
180,1989,ANDHRA PRADESH,GUNTUR,IND,0.06
181,1989,ANDHRA PRADESH,GUNTUR,IND,0.05
182,1989,ANDHRA PRADESH,GUNTUR,IND,0.05
183,1989,ANDHRA PRADESH,GUNTUR,IND,0.04
184,1989,ANDHRA PRADESH,GUNTUR,IND,0.01
185,1989,ANDHRA PRADESH,BAPATLA,TDP,46.82
186,1989,ANDHRA PRADESH,BAPATLA,INC,46.64
187,1989,ANDHRA PRADESH,BAPATLA,BJP,2.99
188,1989,ANDHRA PRADESH,BAPATLA,IND,1.27
189,1989,ANDHRA PRADESH,BAPATLA,IND,0.58
190,1989,ANDHRA PRADESH,BAPATLA,IND,0.23
191,1989,ANDHRA PRADESH,BAPATLA,JP,0.19
192,1989,ANDHRA PRADESH,BAPATLA,IND,0.11
193,1989,ANDHRA PRADESH,BAPATLA,IND,0.1
194,1989,ANDHRA PRADESH,BAPATLA,IND,0.09
195,1989,ANDHRA PRADESH,BAPATLA,IND,0.09
196,1989,ANDHRA PRADESH,BAPATLA,IND,0.08
197,1989,ANDHRA PRADESH,BAPATLA,SSD,0.08
198,1989,ANDHRA PRADESH,BAPATLA,IND,0.07
199,1989,ANDHRA PRADESH,BAPATLA,IND,0.07
200,1989,ANDHRA PRADESH,BAPATLA,BSP,0.07
201,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
202,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
203,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
204,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
205,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
206,1989,ANDHRA PRADESH,BAPATLA,IND,0.05
207,1989,ANDHRA PRADESH,BAPATLA,IND,0.05
208,1989,ANDHRA PRADESH,BAPATLA,IND,0.04
209,1989,ANDHRA PRADESH,BAPATLA,IND,0.03
210,1989,ANDHRA PRADESH,BAPATLA,IND,0.03
211,1989,ANDHRA PRADESH,BAPATLA,IND,0.02
212,1989,ANDHRA PRADESH,BAPATLA,IND,0.02
213,1989,ANDHRA PRADESH,NARASARAOPET,INC,52.14
214,1989,ANDHRA PRADESH,NARASARAOPET,TDP,42.79
215,1989,ANDHRA PRADESH,NARASARAOPET,BJP,3.25
216,1989,ANDHRA PRADESH,NARASARAOPET,BSP,0.39
217,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.33
218,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.32
219,1989,ANDHRA PRADESH,NARASARAOPET,JP,0.21
220,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.19
221,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.15
222,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.07
223,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.05
224,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.05
225,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.03
226,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.03
227,1989,ANDHRA PRADESH,ONGOLE,INC,49.67
228,1989,ANDHRA PRADESH,ONGOLE,TDP,43.75
229,1989,ANDHRA PRADESH,ONGOLE,BJP,4.29
230,1989,ANDHRA PRADESH,ONGOLE,IND,0.99
231,1989,ANDHRA PRADESH,ONGOLE,JP,0.3
232,1989,ANDHRA PRADESH,ONGOLE,IND,0.27
233,1989,ANDHRA PRADESH,ONGOLE,IND,0.25
234,1989,ANDHRA PRADESH,ONGOLE,IND,0.19
235,1989,ANDHRA PRADESH,ONGOLE,IND,0.09
236,1989,ANDHRA PRADESH,ONGOLE,IND,0.08
237,1989,ANDHRA PRADESH,ONGOLE,IND,0.06
238,1989,ANDHRA PRADESH,ONGOLE,IND,0.05
239,1989,ANDHRA PRADESH,ONGOLE,IND,0.02
240,1989,ANDHRA PRADESH,NELLORE (SC),INC,45.68
241,1989,ANDHRA PRADESH,NELLORE (SC),TDP,38.05
242,1989,ANDHRA PRADESH,NELLORE (SC),BJP,14.51
243,1989,ANDHRA PRADESH,NELLORE (SC),JP,0.48
244,1989,ANDHRA PRADESH,NELLORE (SC),BSP,0.46
245,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.26
246,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.14
247,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.11
248,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.09
249,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.09
250,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.05
251,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.05
252,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.04
253,1989,ANDHRA PRADESH,TIRUPATHI (SC),INC,61.98
254,1989,ANDHRA PRADESH,TIRUPATHI (SC),TDP,32.51
255,1989,ANDHRA PRADESH,TIRUPATHI (SC),BJP,3.41
256,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.52
257,1989,ANDHRA PRADESH,TIRUPATHI (SC),BSP,0.41
258,1989,ANDHRA PRADESH,TIRUPATHI (SC),JP,0.37
259,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.32
260,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.14
261,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.14
262,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.06
263,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.05
264,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.05
265,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.03
266,1989,ANDHRA PRADESH,CHITTOOR,INC,56.02
267,1989,ANDHRA PRADESH,CHITTOOR,TDP,39.53
268,1989,ANDHRA PRADESH,CHITTOOR,BJP,3.13
269,1989,ANDHRA PRADESH,CHITTOOR,BSP,0.25
270,1989,ANDHRA PRADESH,CHITTOOR,IND,0.21
271,1989,ANDHRA PRADESH,CHITTOOR,IND,0.2
272,1989,ANDHRA PRADESH,CHITTOOR,JP,0.12
273,1989,ANDHRA PRADESH,CHITTOOR,IND,0.12
274,1989,ANDHRA PRADESH,CHITTOOR,IND,0.1
275,1989,ANDHRA PRADESH,CHITTOOR,IND,0.08
276,1989,ANDHRA PRADESH,CHITTOOR,IND,0.07
277,1989,ANDHRA PRADESH,CHITTOOR,LAB(B),0.07
278,1989,ANDHRA PRADESH,CHITTOOR,IND,0.03
279,1989,ANDHRA PRADESH,CHITTOOR,IND,0.03
280,1989,ANDHRA PRADESH,CHITTOOR,IND,0.02
281,1989,ANDHRA PRADESH,CHITTOOR,IND,0.02
282,1989,ANDHRA PRADESH,RAJAMPET,INC,57.94
283,1989,ANDHRA PRADESH,RAJAMPET,TDP,29.02
284,1989,ANDHRA PRADESH,RAJAMPET,BJP,7.99
285,1989,ANDHRA PRADESH,RAJAMPET,IND,2.72
286,1989,ANDHRA PRADESH,RAJAMPET,IND,0.6
287,1989,ANDHRA PRADESH,RAJAMPET,IND,0.43
288,1989,ANDHRA PRADESH,RAJAMPET,IND,0.31
289,1989,ANDHRA PRADESH,RAJAMPET,IND,0.29
290,1989,ANDHRA PRADESH,RAJAMPET,IND,0.25
291,1989,ANDHRA PRADESH,RAJAMPET,IND,0.16
292,1989,ANDHRA PRADESH,RAJAMPET,IND,0.13
293,1989,ANDHRA PRADESH,RAJAMPET,IND,0.1
294,1989,ANDHRA PRADESH,RAJAMPET,IND,0.06
295,1989,ANDHRA PRADESH,CUDDAPAH,INC,75.29
296,1989,ANDHRA PRADESH,CUDDAPAH,TDP,21.28
297,1989,ANDHRA PRADESH,CUDDAPAH,BJP,2.16
298,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.24
299,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.11
300,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.09
301,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.07
302,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.06
303,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
304,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
305,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
306,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
307,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
308,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
309,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
310,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
311,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
312,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
313,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.03
314,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.03
315,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
316,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
317,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
318,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
319,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
320,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
321,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
322,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
323,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
324,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
325,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
326,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
327,1989,ANDHRA PRADESH,HINDUPUR,INC,53.14
328,1989,ANDHRA PRADESH,HINDUPUR,TDP,36.53
329,1989,ANDHRA PRADESH,HINDUPUR,BJP,8.13
330,1989,ANDHRA PRADESH,HINDUPUR,IND,1.54
331,1989,ANDHRA PRADESH,HINDUPUR,IND,0.23
332,1989,ANDHRA PRADESH,HINDUPUR,IND,0.17
333,1989,ANDHRA PRADESH,HINDUPUR,IND,0.14
334,1989,ANDHRA PRADESH,HINDUPUR,IND,0.07
335,1989,ANDHRA PRADESH,HINDUPUR,IND,0.06
336,1989,ANDHRA PRADESH,ANANTAPUR,INC,59.14
337,1989,ANDHRA PRADESH,ANANTAPUR,TDP,32.67
338,1989,ANDHRA PRADESH,ANANTAPUR,BJP,6.32
339,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.6
340,1989,ANDHRA PRADESH,ANANTAPUR,JP,0.53
341,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.32
342,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.16
343,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.14
344,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.13
345,1989,ANDHRA PRADESH,KURNOOL,INC,51.92
346,1989,ANDHRA PRADESH,KURNOOL,TDP,42.91
347,1989,ANDHRA PRADESH,KURNOOL,BJP,3.5
348,1989,ANDHRA PRADESH,KURNOOL,IND,0.75
349,1989,ANDHRA PRADESH,KURNOOL,IND,0.3
350,1989,ANDHRA PRADESH,KURNOOL,IND,0.2
351,1989,ANDHRA PRADESH,KURNOOL,IND,0.16
352,1989,ANDHRA PRADESH,KURNOOL,IND,0.1
353,1989,ANDHRA PRADESH,KURNOOL,IND,0.08
354,1989,ANDHRA PRADESH,KURNOOL,IND,0.05
355,1989,ANDHRA PRADESH,KURNOOL,IND,0.04
356,1989,ANDHRA PRADESH,NANDYAL,INC,60.1
357,1989,ANDHRA PRADESH,NANDYAL,TDP,30.37
358,1989,ANDHRA PRADESH,NANDYAL,BJP,7.55
359,1989,ANDHRA PRADESH,NANDYAL,JP,0.51
360,1989,ANDHRA PRADESH,NANDYAL,IND,0.44
361,1989,ANDHRA PRADESH,NANDYAL,IND,0.3
362,1989,ANDHRA PRADESH,NANDYAL,IND,0.14
363,1989,ANDHRA PRADESH,NANDYAL,IND,0.13
364,1989,ANDHRA PRADESH,NANDYAL,IND,0.12
365,1989,ANDHRA PRADESH,NANDYAL,IND,0.1
366,1989,ANDHRA PRADESH,NANDYAL,IND,0.1
367,1989,ANDHRA PRADESH,NANDYAL,IND,0.08
368,1989,ANDHRA PRADESH,NANDYAL,IND,0.03
369,1989,ANDHRA PRADESH,NANDYAL,IND,0.03
370,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),INC,44.74
371,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),TDP,36.06
372,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),BJP,13.34
373,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,1.5
374,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),BSP,1.41
375,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,1.25
376,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.62
377,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),JP,0.62
378,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.3
379,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.17
380,1989,ANDHRA PRADESH,MAHABUBNAGAR,INC,36.98
381,1989,ANDHRA PRADESH,MAHABUBNAGAR,TDP,31.5
382,1989,ANDHRA PRADESH,MAHABUBNAGAR,BJP,21.13
383,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,2.32
384,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,2.01
385,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,1.61
386,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,1.35
387,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.64
388,1989,ANDHRA PRADESH,MAHABUBNAGAR,BSP,0.51
389,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.46
390,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.41
391,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.27
392,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
393,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
394,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
395,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.17
396,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.09
397,1989,ANDHRA PRADESH,HYDERABAD,MIM,46.18
398,1989,ANDHRA PRADESH,HYDERABAD,BJP,42.17
399,1989,ANDHRA PRADESH,HYDERABAD,TDP,5.03
400,1989,ANDHRA PRADESH,HYDERABAD,INC,3.4
401,1989,ANDHRA PRADESH,HYDERABAD,IND,0.9
402,1989,ANDHRA PRADESH,HYDERABAD,IND,0.53
403,1989,ANDHRA PRADESH,HYDERABAD,IND,0.41
404,1989,ANDHRA PRADESH,HYDERABAD,JP,0.2
405,1989,ANDHRA PRADESH,HYDERABAD,IND,0.15
406,1989,ANDHRA PRADESH,HYDERABAD,IND,0.15
407,1989,ANDHRA PRADESH,HYDERABAD,IND,0.12
408,1989,ANDHRA PRADESH,HYDERABAD,IND,0.12
409,1989,ANDHRA PRADESH,HYDERABAD,IND,0.09
410,1989,ANDHRA PRADESH,HYDERABAD,IND,0.08
411,1989,ANDHRA PRADESH,HYDERABAD,IND,0.08
412,1989,ANDHRA PRADESH,HYDERABAD,BSP,0.07
413,1989,ANDHRA PRADESH,HYDERABAD,IND,0.06
414,1989,ANDHRA PRADESH,HYDERABAD,IND,0.04
415,1989,ANDHRA PRADESH,HYDERABAD,IND,0.04
416,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
417,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
418,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
