%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
43.14,KINJARAPU YERRANNAIDU,SRIKAKULAM,1,TDP,M,ANDHRA PRADESH,286582,673199,664353,979623,68.72
30.14,APPAYYA DORA HANUMANTHU,SRIKAKULAM,2,NTRTDP(LP),M,ANDHRA PRADESH,200217,673199,664353,979623,68.72
26.46,DHARMANA PRASADA RAO,SRIKAKULAM,3,INC,M,ANDHRA PRADESH,175762,673199,664353,979623,68.72
0.27,TAMMINENI JAGANMOHANARAO,SRIKAKULAM,4,IND,M,ANDHRA PRADESH,1792,673199,664353,979623,68.72
50.55,VIJAYA RAMARAJU SETRUCHARLA,PARVATHIPURAM (ST),1,TDP,M,ANDHRA PRADESH,299904,604975,593286,911746,66.35
46.63,PRADEEP KUMAR DEV VYRICHERLA,PARVATHIPURAM (ST),2,INC,M,ANDHRA PRADESH,276627,604975,593286,911746,66.35
1.48,ARIKA GUMPASWAMY,PARVATHIPURAM (ST),3,IND,M,ANDHRA PRADESH,8771,604975,593286,911746,66.35
1.35,UYIKA MUTYALU,PARVATHIPURAM (ST),4,IND,M,ANDHRA PRADESH,7984,604975,593286,911746,66.35
43.89,KONDAPALLI PYDITHALLI NAIDU,BOBBILI,1,TDP,M,ANDHRA PRADESH,298961,693268,681194,940039,73.75
39.94,BOTCHA SATYANARAYANA,BOBBILI,2,INC,M,ANDHRA PRADESH,272053,693268,681194,940039,73.75
15.55,VASIREDDY VARADA RAMA RAO,BOBBILI,3,BJP,M,ANDHRA PRADESH,105959,693268,681194,940039,73.75
0.46,VENKATA SURYA RAGHUNADHA VARMA POOSAPATI,BOBBILI,4,IND,M,ANDHRA PRADESH,3155,693268,681194,940039,73.75
0.16,SATYAVATHI SOMU,BOBBILI,5,IND,F,ANDHRA PRADESH,1066,693268,681194,940039,73.75
42.21,SUBBARAMI REDDY.T,VISAKHAPATNAM,1,INC,M,ANDHRA PRADESH,375782,904549,890170,1391596,65.0
35.3,ANANDA GAJAPATHI RAJU PUSAPATI,VISAKHAPATNAM,2,TDP,M,ANDHRA PRADESH,314265,904549,890170,1391596,65.0
21.96,D.V.SUBBA RAO,VISAKHAPATNAM,3,BJP,M,ANDHRA PRADESH,195452,904549,890170,1391596,65.0
0.2,APPARAO GUDIVADA,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,1757,904549,890170,1391596,65.0
0.17,SANGAMREDDY SURAPPADU,VISAKHAPATNAM,5,IND,M,ANDHRA PRADESH,1529,904549,890170,1391596,65.0
0.16,GUNTUBOYANA NARAYANA RAO,VISAKHAPATNAM,6,SP,M,ANDHRA PRADESH,1385,904549,890170,1391596,65.0
39.1,RAMAIAH SODE,BHADRACHALAM (ST),1,CPI,M,ANDHRA PRADESH,263141,692097,672943,1093137,63.31
30.27,KARREDDULA KAMALA KUMARI,BHADRACHALAM (ST),2,INC,F,ANDHRA PRADESH,203701,692097,672943,1093137,63.31
18.07,SETTI LAKSHMANUDU,BHADRACHALAM (ST),3,NTRTDP(LP),M,ANDHRA PRADESH,121615,692097,672943,1093137,63.31
7.48,KURASAM SUBBA RAO,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,50314,692097,672943,1093137,63.31
