%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
3.74,KECHELA RANGA REDDI,BHADRACHALAM (ST),5,IND,M,ANDHRA PRADESH,25185,692097,672943,1093137,63.31
0.78,MURLA YERRAYYA REDDY,BHADRACHALAM (ST),6,IND,M,ANDHRA PRADESH,5252,692097,672943,1093137,63.31
0.56,GORLE VINOD CHAND,BHADRACHALAM (ST),7,IND,M,ANDHRA PRADESH,3735,692097,672943,1093137,63.31
43.96,GURUNADHA RAO GUDIVADA,ANAKAPALLI,1,INC,M,ANDHRA PRADESH,321840,743582,732115,1024801,72.56
40.42,AYYANNA PATRUDU CHINTAKAYALA,ANAKAPALLI,2,TDP,M,ANDHRA PRADESH,295915,743582,732115,1024801,72.56
15.62,P.V.CHALAPATHI RAO,ANAKAPALLI,3,BJP,M,ANDHRA PRADESH,114360,743582,732115,1024801,72.56
41.06,KRISHNAMRAJU U.V.,KAKINADA,1,BJP,M,ANDHRA PRADESH,330381,815242,804652,1159644,70.3
32.63,GOPALA KRISHNA THOTA,KAKINADA,2,TDP,M,ANDHRA PRADESH,262582,815242,804652,1159644,70.3
24.01,MALLIPUDI MANGAPATHI PALLAMRAJU,KAKINADA,3,INC,M,ANDHRA PRADESH,193178,815242,804652,1159644,70.3
1.08,MURTHY NAINALASETTY,KAKINADA,4,CPI(ML)(L),M,ANDHRA PRADESH,8682,815242,804652,1159644,70.3
0.44,CHOLLANGI VENU,KAKINADA,5,BSP,M,ANDHRA PRADESH,3549,815242,804652,1159644,70.3
0.3,PITTA SAHADEVUDU,KAKINADA,6,IND,M,ANDHRA PRADESH,2381,815242,804652,1159644,70.3
0.23,RAJARAO GOLLEPALLI,KAKINADA,7,IND,M,ANDHRA PRADESH,1874,815242,804652,1159644,70.3
0.18,PENTAPATI CHANDRASEKHARARAO,KAKINADA,8,IND,M,ANDHRA PRADESH,1456,815242,804652,1159644,70.3
0.07,VADAKATTU NEHRU,KAKINADA,9,IND,M,ANDHRA PRADESH,569,815242,804652,1159644,70.3
36.57,GIRAJALA VENKATA SWAMY NAIDU,RAJAHMUNDRY,1,BJP,M,ANDHRA PRADESH,285741,790514,781346,1121041,70.52
35.3,M.V.V.S. MURTHI,RAJAHMUNDRY,2,TDP,M,ANDHRA PRADESH,275829,790514,781346,1121041,70.52
26.99,T.V.SATYANARAYANA REDDY,RAJAHMUNDRY,3,INC,M,ANDHRA PRADESH,210901,790514,781346,1121041,70.52
0.44,M. DURGAPRASAD,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,3440,790514,781346,1121041,70.52
0.41,BOYA PRASAD,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,3167,790514,781346,1121041,70.52
0.14,KANUMILLI VENKANNA DORA,RAJAHMUNDRY,6,IND,M,ANDHRA PRADESH,1118,790514,781346,1121041,70.52
0.07,ANAPARTHI GOPALA KRISHNA,RAJAHMUNDRY,7,IND,M,ANDHRA PRADESH,551,790514,781346,1121041,70.52
0.04,SATYAMSETTI NARAYANA RAO,RAJAHMUNDRY,8,IND,M,ANDHRA PRADESH,351,790514,781346,1121041,70.52
0.03,DAYANA RAMAKRISHNA,RAJAHMUNDRY,9,IND,M,ANDHRA PRADESH,248,790514,781346,1121041,70.52
43.57,GANTI MOHANA CHANDRA BALAYOGI,AMALAPURAM (SC),1,TDP,M,ANDHRA PRADESH,286953,666177,658569,897362,74.24
29.87,K.S.R.MURTHY,AMALAPURAM (SC),2,INC,M,ANDHRA PRADESH,196713,666177,658569,897362,74.24
26.16,UMAMAHESWARA RAO KOMMABATHULA,AMALAPURAM (SC),3,BJP,M,ANDHRA PRADESH,172301,666177,658569,897362,74.24
0.23,BODDAPALLI NAGESWARA RAO,AMALAPURAM (SC),4,IND,M,ANDHRA PRADESH,1494,666177,658569,897362,74.24
0.17,MOHAN RAO GOLLA,AMALAPURAM (SC),5,ANP,M,ANDHRA PRADESH,1108,666177,658569,897362,74.24
50.66,KANUMURU BAPI RAJU,NARASAPUR,1,INC,M,ANDHRA PRADESH,368630,735245,727594,1012477,72.62
44.07,KOTHAPALLI SUBBARAYUDU (PEDABABU),NARASAPUR,2,TDP,M,ANDHRA PRADESH,320660,735245,727594,1012477,72.62
4.58,DR.PARAKALA PRABHAKAR,NARASAPUR,3,BJP,M,ANDHRA PRADESH,33311,735245,727594,1012477,72.62
0.32,K.V.S. NARAYANA,NARASAPUR,4,IND,M,ANDHRA PRADESH,2338,735245,727594,1012477,72.62
0.15,ESWARUDU KOLLABATTULA,NARASAPUR,5,IND,M,ANDHRA PRADESH,1107,735245,727594,1012477,72.62
0.14,ROKKALA RAVIKUMAR,NARASAPUR,6,IND,M,ANDHRA PRADESH,995,735245,727594,1012477,72.62
0.05,GANTA NARSIMHAMURTY,NARASAPUR,7,IND,M,ANDHRA PRADESH,377,735245,727594,1012477,72.62
0.02,VARDHANAPU SUNDARRAO,NARASAPUR,8,IND,M,ANDHRA PRADESH,176,735245,727594,1012477,72.62
47.68,MAGANTI VENKATESWARA RAO (BABU),ELURU,1,INC,M,ANDHRA PRADESH,385412,819312,808304,1109524,73.84
44.74,BOLLA BULLI RAMAIAH,ELURU,2,TDP,M,ANDHRA PRADESH,361605,819312,808304,1109524,73.84
6.45,JAYALAKSHMI YALAMARTHI,ELURU,3,BJP,F,ANDHRA PRADESH,52113,819312,808304,1109524,73.84
0.33,KADIYALA RAMAMOHANA RAO,ELURU,4,IND,M,ANDHRA PRADESH,2686,819312,808304,1109524,73.84
0.27,BEJJAM RAJESH PUTRA (B.R.P.),ELURU,5,BSP,M,ANDHRA PRADESH,2183,819312,808304,1109524,73.84
0.26,GANNI BABURAO,ELURU,6,IND,M,ANDHRA PRADESH,2100,819312,808304,1109524,73.84
0.09,MAGANTI SITARAMA SWAMY,ELURU,7,IND,M,ANDHRA PRADESH,711,819312,808304,1109524,73.84
0.05,KODURI SREERAMULU,ELURU,8,IND,M,ANDHRA PRADESH,401,819312,808304,1109524,73.84
0.05,NAVIN BABU DAYYALA,ELURU,9,IND,M,ANDHRA PRADESH,394,819312,808304,1109524,73.84
0.05,KOYYALAMUDI VENKATARATNAM,ELURU,10,IND,M,ANDHRA PRADESH,389,819312,808304,1109524,73.84
0.04,ATTINTI CHANDRA RAO,ELURU,11,IND,M,ANDHRA PRADESH,310,819312,808304,1109524,73.84
51.28,KAVURU SAMBASIVA RAO,MACHILIPATNAM,1,INC,M,ANDHRA PRADESH,355030,700195,692370,993538,70.47
39.57,KAIKALA SATYANARAYANA,MACHILIPATNAM,2,TDP,M,ANDHRA PRADESH,273938,700195,692370,993538,70.47
8.38,NAGARJUNA RAO VEMURI,MACHILIPATNAM,3,BJP,M,ANDHRA PRADESH,58012,700195,692370,993538,70.47
0.32,SUBRAMAHESWARA RAO YANDURI(MANI),MACHILIPATNAM,4,IND,M,ANDHRA PRADESH,2240,700195,692370,993538,70.47
0.18,P.S.ANJANEYULU,MACHILIPATNAM,5,RPP,M,ANDHRA PRADESH,1242,700195,692370,993538,70.47
0.13,BOYINA BOYINA SRISIVA VENKATA SATYANARAYANA,MACHILIPATNAM,6,IND,M,ANDHRA PRADESH,919,700195,692370,993538,70.47
0.11,GOPICHAND NARRA,MACHILIPATNAM,7,AJBP,M,ANDHRA PRADESH,749,700195,692370,993538,70.47
0.03,KAMESWARA RAO DODDA,MACHILIPATNAM,8,IND,M,ANDHRA PRADESH,240,700195,692370,993538,70.47
45.02,UPENDRA PARVATHANENI,VIJAYAWADA,1,INC,M,ANDHRA PRADESH,405062,910621,899683,1345242,67.69
41.68,JAI RAMESH DASARI,VIJAYAWADA,2,TDP,M,ANDHRA PRADESH,374995,910621,899683,1345242,67.69
11.63,VADDE RAMAKRISHNA PRASAD,VIJAYAWADA,3,BJP,M,ANDHRA PRADESH,104630,910621,899683,1345242,67.69
0.41,NALLURI SUBBA RAO,VIJAYAWADA,4,IND,M,ANDHRA PRADESH,3721,910621,899683,1345242,67.69
0.32,KAMAL KUMAR B.P,VIJAYAWADA,5,BSP,M,ANDHRA PRADESH,2847,910621,899683,1345242,67.69
0.25,SMT.VIDYA CHENNUPATI,VIJAYAWADA,6,IND,F,ANDHRA PRADESH,2226,910621,899683,1345242,67.69
0.13,AMMESWARA RAO GUMMADI,VIJAYAWADA,7,IND,M,ANDHRA PRADESH,1170,910621,899683,1345242,67.69
0.11,ESWARA RAO YELAMANCHILI,VIJAYAWADA,8,IND,M,ANDHRA PRADESH,990,910621,899683,1345242,67.69
0.09,DEVADAS SIRIPURAPU,VIJAYAWADA,9,SJP(R),M,ANDHRA PRADESH,802,910621,899683,1345242,67.69
0.06,SMT. VIJAYA LAKSHMI VAGGALA,VIJAYAWADA,10,IND,F,ANDHRA PRADESH,503,910621,899683,1345242,67.69
0.05,NANDIGAM VISHNU,VIJAYAWADA,11,AJBP,M,ANDHRA PRADESH,459,910621,899683,1345242,67.69
0.05,YEDU KONDALU P.V,VIJAYAWADA,12,IND,M,ANDHRA PRADESH,418,910621,899683,1345242,67.69
0.05,ARLAGADDA BABU RAO,VIJAYAWADA,13,IND,M,ANDHRA PRADESH,409,910621,899683,1345242,67.69
0.04,ABRAHAM VARAPRASAD GUNDABATHINA,VIJAYAWADA,14,IND,M,ANDHRA PRADESH,386,910621,899683,1345242,67.69
0.04,KATAMRAJU YARAM,VIJAYAWADA,15,IND,M,ANDHRA PRADESH,379,910621,899683,1345242,67.69
0.04,ATLURI RAVINDRA PRASAD,VIJAYAWADA,16,IND,M,ANDHRA PRADESH,349,910621,899683,1345242,67.69
0.02,AZIT KUMAR REDDY THAMMA,VIJAYAWADA,17,IND,M,ANDHRA PRADESH,190,910621,899683,1345242,67.69
0.02,BALA NAGESWARA RAO CHIGURUPATI,VIJAYAWADA,18,IND,M,ANDHRA PRADESH,147,910621,899683,1345242,67.69
46.34,P.SHIV SHANKER,TENALI,1,INC,M,ANDHRA PRADESH,290014,632751,625791,960503,65.88
44.02,SARADA TADIPARTHI,TENALI,2,TDP,F,ANDHRA PRADESH,275478,632751,625791,960503,65.88
9.52,RAGHUNADHA BABU YADLAPATI,TENALI,3,BJP,M,ANDHRA PRADESH,59547,632751,625791,960503,65.88
0.12,KAMINENI KOTESWARARAO,TENALI,4,IND,M,ANDHRA PRADESH,752,632751,625791,960503,65.88
47.79,RAYAPATI SAMBASIVA RAO,GUNTUR,1,INC,M,ANDHRA PRADESH,359456,760884,752220,1264693,60.16
40.16,LAL JAN BASHA S.M.,GUNTUR,2,TDP,M,ANDHRA PRADESH,302109,760884,752220,1264693,60.16
10.93,AVULA VEERASEKHARARAO,GUNTUR,3,BJP,M,ANDHRA PRADESH,82193,760884,752220,1264693,60.16
0.38,MURALISANKAR TATA,GUNTUR,4,IND,M,ANDHRA PRADESH,2841,760884,752220,1264693,60.16
0.3,NAGARJUNACHARYA MUPPALLA,GUNTUR,5,BSP,M,ANDHRA PRADESH,2244,760884,752220,1264693,60.16
0.14,PANCHAKATLA VENKATA SUBBA RAO,GUNTUR,6,IND,M,ANDHRA PRADESH,1071,760884,752220,1264693,60.16
0.13,GUNDEBOINA SATYANARAYANA,GUNTUR,7,SP,M,ANDHRA PRADESH,961,760884,752220,1264693,60.16
0.08,MOKKAPATI VEERARAGHAVULU,GUNTUR,8,IND,M,ANDHRA PRADESH,621,760884,752220,1264693,60.16
0.05,MUVVA VENKATRAO,GUNTUR,9,IND,M,ANDHRA PRADESH,369,760884,752220,1264693,60.16
0.03,VIPPARLA KOTESWARARAO,GUNTUR,10,IND,M,ANDHRA PRADESH,198,760884,752220,1264693,60.16
0.02,REDDY VENKATA SAMBASIVARAO,GUNTUR,11,IND,M,ANDHRA PRADESH,157,760884,752220,1264693,60.16
47.31,JANARDHANA REDDY NEDURUMALLI,BAPATLA,1,INC,M,ANDHRA PRADESH,316788,677781,669535,1069183,63.39
41.27,UMMAREDDY VENKATESWARLU,BAPATLA,2,TDP,M,ANDHRA PRADESH,276300,677781,669535,1069183,63.39
9.99,GANESUNI RATHAIAH CHOWDARY,BAPATLA,3,BJP,M,ANDHRA PRADESH,66914,677781,669535,1069183,63.39
0.88,RAJASEKHARA BABU SALAGALA,BAPATLA,4,BSP,M,ANDHRA PRADESH,5873,677781,669535,1069183,63.39
0.12,CHEBROLU YESUPARDHA,BAPATLA,5,ANP,M,ANDHRA PRADESH,807,677781,669535,1069183,63.39
0.12,POLLAKAYALA VIJAYANAND,BAPATLA,6,IND,M,ANDHRA PRADESH,777,677781,669535,1069183,63.39
0.09,GELLI MALLIKHARJUNA RAO,BAPATLA,7,IND,M,ANDHRA PRADESH,632,677781,669535,1069183,63.39
0.09,THOLU RAMAKOTESWARA RAO,BAPATLA,8,IND,M,ANDHRA PRADESH,593,677781,669535,1069183,63.39
0.04,KANDRU PRASAD RAO,BAPATLA,9,IND,M,ANDHRA PRADESH,262,677781,669535,1069183,63.39
0.03,HANUMANTHA RAO GOGULAMUDI,BAPATLA,10,SHSP,M,ANDHRA PRADESH,192,677781,669535,1069183,63.39
0.02,JAMPANI BRAHMAIAH,BAPATLA,11,IND,M,ANDHRA PRADESH,165,677781,669535,1069183,63.39
0.02,YETRA TIRUMALA REDDY,BAPATLA,12,IND,M,ANDHRA PRADESH,128,677781,669535,1069183,63.39
0.02,SRINIVASA RAO MADDUKURI,BAPATLA,13,IND,M,ANDHRA PRADESH,104,677781,669535,1069183,63.39
50.22,KONIJETI ROSAIAH,NARASARAOPET,1,INC,M,ANDHRA PRADESH,375815,758061,748282,1255993,60.36
43.83,SAIDAIAH KOTA,NARASARAOPET,2,TDP,M,ANDHRA PRADESH,327996,758061,748282,1255993,60.36
5.41,KABBIREDDY MEDIKONDA,NARASARAOPET,3,BJP,M,ANDHRA PRADESH,40452,758061,748282,1255993,60.36
0.33,CHALAVADI GURAVAIAH,NARASARAOPET,4,RPP,M,ANDHRA PRADESH,2446,758061,748282,1255993,60.36
0.13,GOTTIPATI PEDA JANARDHANA RAO,NARASARAOPET,5,IND,M,ANDHRA PRADESH,1007,758061,748282,1255993,60.36
0.08,PONNAPATI KOTESWARA REDDY,NARASARAOPET,6,IND,M,ANDHRA PRADESH,566,758061,748282,1255993,60.36
47.75,MAGUNTA SREENIVASULU REDDY,ONGOLE,1,INC,M,ANDHRA PRADESH,351390,745553,735876,1179290,63.22
44.92,RAJAMOHAN REDDY MEKAPATI,ONGOLE,2,TDP,M,ANDHRA PRADESH,330524,745553,735876,1179290,63.22
3.48,KONDAPALLI GURAVAIAH NAIDU,ONGOLE,3,BJP,M,ANDHRA PRADESH,25580,745553,735876,1179290,63.22
1.74,N. PERA REDDY,ONGOLE,4,IND,M,ANDHRA PRADESH,12773,745553,735876,1179290,63.22
0.28,M. CHANDRASEKHARA REDDY,ONGOLE,5,IND,M,ANDHRA PRADESH,2035,745553,735876,1179290,63.22
0.2,BORRA SUBBAREDDY,ONGOLE,6,IND,M,ANDHRA PRADESH,1496,745553,735876,1179290,63.22
0.17,MATTEGUNTA SAMUEL,ONGOLE,7,IND,M,ANDHRA PRADESH,1220,745553,735876,1179290,63.22
0.14,REGALAGADDA SANJEEVAIAH YADAV,ONGOLE,8,BSP,M,ANDHRA PRADESH,1026,745553,735876,1179290,63.22
0.13,BELLAM SINGAIAH,ONGOLE,9,IND,M,ANDHRA PRADESH,940,745553,735876,1179290,63.22
0.11,BANKA KONDAIAH,ONGOLE,10,SP,M,ANDHRA PRADESH,828,745553,735876,1179290,63.22
0.11,PONNURU KRISHNA MURTHY,ONGOLE,11,IND,M,ANDHRA PRADESH,806,745553,735876,1179290,63.22
0.1,DARAPANENI CHENNAIAH,ONGOLE,12,IND,M,ANDHRA PRADESH,736,745553,735876,1179290,63.22
0.08,PULI SREENIVASULU REDDY,ONGOLE,13,IND,M,ANDHRA PRADESH,566,745553,735876,1179290,63.22
0.07,JAYAKAR DASARI,ONGOLE,14,IND,M,ANDHRA PRADESH,545,745553,735876,1179290,63.22
0.07,SHAIK RAFI,ONGOLE,15,IND,M,ANDHRA PRADESH,540,745553,735876,1179290,63.22
0.06,CHANNAREDDY NARSIMHARAO,ONGOLE,16,IND,M,ANDHRA PRADESH,467,745553,735876,1179290,63.22
0.06,ALLAM VENKATESWARLU,ONGOLE,17,IND,M,ANDHRA PRADESH,466,745553,735876,1179290,63.22
0.06,MAKKENA CHANDRAMOULI,ONGOLE,18,IND,M,ANDHRA PRADESH,447,745553,735876,1179290,63.22
0.06,DAGGUMATI BALAKOTAIAH,ONGOLE,19,IND,M,ANDHRA PRADESH,435,745553,735876,1179290,63.22
0.05,SHAIK RASHEED,ONGOLE,20,IND,M,ANDHRA PRADESH,376,745553,735876,1179290,63.22
0.05,PAPASANI PRASAD,ONGOLE,21,IND,M,ANDHRA PRADESH,359,745553,735876,1179290,63.22
0.04,PARRE NAVEEN ROY,ONGOLE,22,IND,M,ANDHRA PRADESH,297,745553,735876,1179290,63.22
0.04,ANKINAPALLE PEDA OBULA REDDY,ONGOLE,23,IND,M,ANDHRA PRADESH,291,745553,735876,1179290,63.22
0.03,RONDA SEETHARAMI REDDY,ONGOLE,24,IND,M,ANDHRA PRADESH,235,745553,735876,1179290,63.22
0.03,SANNEBOINA VENKATESWARLU,ONGOLE,25,IND,M,ANDHRA PRADESH,222,745553,735876,1179290,63.22
0.03,KOLLU VENKATA SUBBAIAH,ONGOLE,26,IND,M,ANDHRA PRADESH,217,745553,735876,1179290,63.22
0.03,VADDIMUKKALA SREENIVASARAO,ONGOLE,27,IND,M,ANDHRA PRADESH,210,745553,735876,1179290,63.22
0.03,PATIBANDLA JOHN PAUL,ONGOLE,28,IND,M,ANDHRA PRADESH,193,745553,735876,1179290,63.22
0.02,VENKATESWARA CHOWDARY GUNTUPALLI,ONGOLE,29,IND,M,ANDHRA PRADESH,144,745553,735876,1179290,63.22
0.02,PADMANABHA REDDY CHINTAM,ONGOLE,30,IND,M,ANDHRA PRADESH,142,745553,735876,1179290,63.22
0.02,VENKATA SUBBAIAH KALE,ONGOLE,31,IND,M,ANDHRA PRADESH,125,745553,735876,1179290,63.22
0.01,GAJULA RAMU,ONGOLE,32,IND,M,ANDHRA PRADESH,102,745553,735876,1179290,63.22
0.01,KALAVAKURI MALAKONDAIAH,ONGOLE,33,IND,M,ANDHRA PRADESH,88,745553,735876,1179290,63.22
0.01,MADHAVARAPU NAGENDRA,ONGOLE,34,IND,M,ANDHRA PRADESH,55,745553,735876,1179290,63.22
40.06,PANABAKA LAKSHMI,NELLORE (SC),1,INC,F,ANDHRA PRADESH,296731,752917,740792,1166301,64.56
33.78,BUDURU SWARNALATHA,NELLORE (SC),2,CPM,F,ANDHRA PRADESH,250204,752917,740792,1166301,64.56
23.63,KARUPOTHALA BALAKONDAIAH,NELLORE (SC),3,BJP,M,ANDHRA PRADESH,175074,752917,740792,1166301,64.56
1.02,GADDAM ARUNDHATI,NELLORE (SC),4,SP,F,ANDHRA PRADESH,7529,752917,740792,1166301,64.56
0.99,JANAKI PRASAD,NELLORE (SC),5,BSP,M,ANDHRA PRADESH,7361,752917,740792,1166301,64.56
0.29,CHENTHATI RAMAIAH,NELLORE (SC),6,IND,M,ANDHRA PRADESH,2133,752917,740792,1166301,64.56
0.18,MATTUPALLI VENUMADHAV,NELLORE (SC),7,IND,M,ANDHRA PRADESH,1365,752917,740792,1166301,64.56
0.05,MOLATHRATI LAKSHMAIAH,NELLORE (SC),8,IND,M,ANDHRA PRADESH,395,752917,740792,1166301,64.56
38.52,CHINTHA MOHAN,TIRUPATHI (SC),1,INC,M,ANDHRA PRADESH,288904,759887,749990,1187901,63.97
37.27,DR. N. SIVAPRASAD,TIRUPATHI (SC),2,TDP,M,ANDHRA PRADESH,279558,759887,749990,1187901,63.97
23.84,N.VENKATASWAMY,TIRUPATHI (SC),3,BJP,M,ANDHRA PRADESH,178773,759887,749990,1187901,63.97
0.21,PARI ANANDA RAO,TIRUPATHI (SC),4,IND,M,ANDHRA PRADESH,1555,759887,749990,1187901,63.97
0.16,K.PRABHAKAR,TIRUPATHI (SC),5,IND,M,ANDHRA PRADESH,1200,759887,749990,1187901,63.97
45.13,NUTHANAKALVA RAMAKRISHNA REDDY,CHITTOOR,1,TDP,M,ANDHRA PRADESH,349831,785684,775143,1123338,69.94
34.8,GNANENDRA REDDY.M,CHITTOOR,2,INC,M,ANDHRA PRADESH,269750,785684,775143,1123338,69.94
19.08,N.P.VENKATESWARA CHOWDARY,CHITTOOR,3,BJP,M,ANDHRA PRADESH,147861,785684,775143,1123338,69.94
0.37,KIRAN KUMAR.M,CHITTOOR,4,IND,M,ANDHRA PRADESH,2900,785684,775143,1123338,69.94
0.28,MANOHAR,CHITTOOR,5,IND,M,ANDHRA PRADESH,2147,785684,775143,1123338,69.94
0.19,DHANASEGHARAN.V,CHITTOOR,6,IND,M,ANDHRA PRADESH,1467,785684,775143,1123338,69.94
0.08,C.R. ESWARA MOORTHY,CHITTOOR,7,RJD,M,ANDHRA PRADESH,642,785684,775143,1123338,69.94
0.07,VISWANATHA REDDY.A,CHITTOOR,8,IND,M,ANDHRA PRADESH,545,785684,775143,1123338,69.94
45.35,ANNAIAHGARI SAI PRATAP,RAJAMPET,1,INC,M,ANDHRA PRADESH,274889,615261,606110,956628,64.32
37.45,GUNIPATI RAMAIAH,RAJAMPET,2,TDP,M,ANDHRA PRADESH,226993,615261,606110,956628,64.32
15.56,DR. A.HARINATH REDDY,RAJAMPET,3,BJP,M,ANDHRA PRADESH,94311,615261,606110,956628,64.32
0.41,KOTAPATI VENKATA KRISHNAIAH,RAJAMPET,4,IND,M,ANDHRA PRADESH,2512,615261,606110,956628,64.32
0.35,P. GANGANNA,RAJAMPET,5,IND,M,ANDHRA PRADESH,2101,615261,606110,956628,64.32
0.24,D.MAHESWARA RAJU,RAJAMPET,6,SAP,M,ANDHRA PRADESH,1484,615261,606110,956628,64.32
0.22,P.CHANDRA SEKHAR REDDY,RAJAMPET,7,NTRTDP(LP),M,ANDHRA PRADESH,1337,615261,606110,956628,64.32
0.17,SHAIK SALAM,RAJAMPET,8,IND,M,ANDHRA PRADESH,1030,615261,606110,956628,64.32
0.1,SUBBARAYUDU THOMBAVARAPU,RAJAMPET,9,IND,M,ANDHRA PRADESH,611,615261,606110,956628,64.32
0.1,RAMA CHANDRUDU YERRAMSETTY,RAJAMPET,10,IND,M,ANDHRA PRADESH,600,615261,606110,956628,64.32
0.04,VARAGAMREDDY SUBBA REDDY,RAJAMPET,11,IND,M,ANDHRA PRADESH,242,615261,606110,956628,64.32
50.69,Y.S.RAJASEKHAR REDDY,CUDDAPAH,1,INC,M,ANDHRA PRADESH,374762,750722,739280,1107474,67.79
43.4,KANDULA RAJAMOHANA REDDY,CUDDAPAH,2,TDP,M,ANDHRA PRADESH,320881,750722,739280,1107474,67.79
3.83,NAGENDRA PRASAD KADIRI,CUDDAPAH,3,BJP,M,ANDHRA PRADESH,28349,750722,739280,1107474,67.79
1.25,LAKKIREDDY SUDHAKARA REDDY,CUDDAPAH,4,IND,M,ANDHRA PRADESH,9212,750722,739280,1107474,67.79
0.18,GOPALREDDY GURIJALA,CUDDAPAH,5,IND,M,ANDHRA PRADESH,1340,750722,739280,1107474,67.79
0.1,C.VENKATA SUBBA REDDY,CUDDAPAH,6,AJBP,M,ANDHRA PRADESH,763,750722,739280,1107474,67.79
0.1,INDIREDDY THIMMA REDDY,CUDDAPAH,7,SAP,M,ANDHRA PRADESH,727,750722,739280,1107474,67.79
0.09,PULLAIAH CHAGALAMARRY,CUDDAPAH,8,IND,M,ANDHRA PRADESH,641,750722,739280,1107474,67.79
0.07,SARANGAPANI SAILENDRA BABU,CUDDAPAH,9,IND,M,ANDHRA PRADESH,550,750722,739280,1107474,67.79
0.06,CHIDIPIRALLA ADINARAYANA REDDY,CUDDAPAH,10,IND,M,ANDHRA PRADESH,479,750722,739280,1107474,67.79
0.06,N.VISWESWARA REDDY,CUDDAPAH,11,IND,M,ANDHRA PRADESH,441,750722,739280,1107474,67.79
0.06,CHINNAKONDA REDDY KOKATAM,CUDDAPAH,12,IND,M,ANDHRA PRADESH,418,750722,739280,1107474,67.79
0.04,KOTHAMIDDELA RAGHURAMI REDDY,CUDDAPAH,13,IND,M,ANDHRA PRADESH,296,750722,739280,1107474,67.79
