%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
56.81,YERRANNAIDU KINJARAPU,SRIKAKULAM,1,TDP,M,ANDHRA PRADESH,373851,676413,658100,985232,68.66
42.09,KANITHI VISWANADAHAM,SRIKAKULAM,2,INC,M,ANDHRA PRADESH,276969,676413,658100,985232,68.66
1.11,APPALA NAIDU GOLIVE,SRIKAKULAM,3,AJBP,M,ANDHRA PRADESH,7280,676413,658100,985232,68.66
49.54,DADICHILUKA VEERA GOURI SANKARA RAO,PARVATHIPURAM (ST),1,TDP,M,ANDHRA PRADESH,304000,637051,613641,911609,69.88
47.38,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,PARVATHIPURAM (ST),2,INC,M,ANDHRA PRADESH,290719,637051,613641,911609,69.88
1.59,ARIKA GUMPA SWAMY,PARVATHIPURAM (ST),3,IND,M,ANDHRA PRADESH,9750,637051,613641,911609,69.88
1.49,VOOYAKA MUTYALU,PARVATHIPURAM (ST),4,IND,M,ANDHRA PRADESH,9172,637051,613641,911609,69.88
48.95,BOTCHA SATYANARAYANA,BOBBILI,1,INC,M,ANDHRA PRADESH,339768,716703,694150,949773,75.46
48.4,ARUNA PADALA,BOBBILI,2,TDP,F,ANDHRA PRADESH,335947,716703,694150,949773,75.46
2.37,MANJULA DASARI,BOBBILI,3,AJBP,F,ANDHRA PRADESH,16425,716703,694150,949773,75.46
0.29,ENUMULA APPA RAO,BOBBILI,4,IND,M,ANDHRA PRADESH,2010,716703,694150,949773,75.46
49.96,M.V.V.S.MURTHY,VISAKHAPATNAM,1,TDP,M,ANDHRA PRADESH,442036,914936,884861,1420606,64.4
45.56,T.SUBBARAMI REDDY,VISAKHAPATNAM,2,INC,M,ANDHRA PRADESH,403117,914936,884861,1420606,64.4
3.01,CH.NARSINGA RAO,VISAKHAPATNAM,3,CPM,M,ANDHRA PRADESH,26610,914936,884861,1420606,64.4
1.06,NAVISH YADAV(T.N.V.MURTHI B.E.),VISAKHAPATNAM,4,SP,M,ANDHRA PRADESH,9377,914936,884861,1420606,64.4
0.26,APPA RAO GUDIVADA,VISAKHAPATNAM,5,IND,M,ANDHRA PRADESH,2263,914936,884861,1420606,64.4
0.16,NANDURI PANI,VISAKHAPATNAM,6,IND,M,ANDHRA PRADESH,1458,914936,884861,1420606,64.4
40.3,DUMPA MARY VIJAYA KUMARI,BHADRACHALAM (ST),1,TDP,F,ANDHRA PRADESH,293593,759883,728556,1085536,70.0
35.21,T.RATNABAI,BHADRACHALAM (ST),2,INC,F,ANDHRA PRADESH,256490,759883,728556,1085536,70.0
16.81,RAMAIAH SODE,BHADRACHALAM (ST),3,CPI,M,ANDHRA PRADESH,122496,759883,728556,1085536,70.0
3.35,PANGI SATYANARAYANA,BHADRACHALAM (ST),4,NTRTDP(LP),M,ANDHRA PRADESH,24425,759883,728556,1085536,70.0
2.32,K. RANGA REDDY,BHADRACHALAM (ST),5,IND,M,ANDHRA PRADESH,16893,759883,728556,1085536,70.0
2.01,KURASAM SUBBA RAO,BHADRACHALAM (ST),6,IND,M,ANDHRA PRADESH,14659,759883,728556,1085536,70.0
52.75,GANTA SRINIVASA RAO,ANAKAPALLI,1,TDP,M,ANDHRA PRADESH,392984,764079,744984,1035708,73.77
44.9,GURUNADHA RAO GUDIVADA,ANAKAPALLI,2,INC,M,ANDHRA PRADESH,334520,764079,744984,1035708,73.77
1.87,APPALA TRINADHA RAO BHEESETTI,ANAKAPALLI,3,ATDP,M,ANDHRA PRADESH,13918,764079,744984,1035708,73.77
0.48,CHODAY SRINIVASA RAO,ANAKAPALLI,4,NTRTDP(LP),M,ANDHRA PRADESH,3562,764079,744984,1035708,73.77
53.64,MUDRAGADA PADMANABHAM,KAKINADA,1,TDP,M,ANDHRA PRADESH,435811,836085,812541,1171987,71.34
38.69,THOTA SUBBARAO,KAKINADA,2,INC,M,ANDHRA PRADESH,314376,836085,812541,1171987,71.34
5.47,BODDU KRISHNA MOHAN,KAKINADA,3,ATDP,M,ANDHRA PRADESH,44466,836085,812541,1171987,71.34
1.09,NAINALASETTI MURTHY,KAKINADA,4,CPI(ML)(L),M,ANDHRA PRADESH,8855,836085,812541,1171987,71.34
0.76,PACHIPALA RAMA PRAKASH,KAKINADA,5,IND,M,ANDHRA PRADESH,6210,836085,812541,1171987,71.34
0.18,CHANDRASEKHARARAO P.,KAKINADA,6,IND,M,ANDHRA PRADESH,1502,836085,812541,1171987,71.34
0.16,MUTYALA RAMALINGA CHOWDARY,KAKINADA,7,AJBP,M,ANDHRA PRADESH,1321,836085,812541,1171987,71.34
51.73,SATYANARAYANA RAO S.B.P.B.K,RAJAHMUNDRY,1,BJP,M,ANDHRA PRADESH,411956,823798,796286,1137225,72.44
44.2,CHITTURI RAVINDRA,RAJAHMUNDRY,2,INC,M,ANDHRA PRADESH,351925,823798,796286,1137225,72.44
1.98,BOMMIDI RAM MOHAN RAO,RAJAHMUNDRY,3,AJBP,M,ANDHRA PRADESH,15727,823798,796286,1137225,72.44
1.37,VELAGALA SATHI REDDY (ADVOCATE),RAJAHMUNDRY,4,ATDP,M,ANDHRA PRADESH,10932,823798,796286,1137225,72.44
0.36,M.K.R.C. MURTY,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,2839,823798,796286,1137225,72.44
0.2,NARAPAREDDY SOMA BRAHMA RANGA RAO,RAJAHMUNDRY,6,IND,M,ANDHRA PRADESH,1565,823798,796286,1137225,72.44
0.17,SRI HARI RAO RIMMALAPUDI,RAJAHMUNDRY,7,IND,M,ANDHRA PRADESH,1342,823798,796286,1137225,72.44
55.56,GANTI MOHANACHANDRA BALAYOGI,AMALAPURAM (SC),1,TDP,M,ANDHRA PRADESH,368476,685230,663249,908257,75.44
37.63,GOLLAPALLI SURYARAO,AMALAPURAM (SC),2,INC,M,ANDHRA PRADESH,249597,685230,663249,908257,75.44
3.99,AKUMARTHI SURYANARAYANA,AMALAPURAM (SC),3,MCPI(S),M,ANDHRA PRADESH,26487,685230,663249,908257,75.44
2.53,SAKA YESURATNAM,AMALAPURAM (SC),4,ATDP,M,ANDHRA PRADESH,16769,685230,663249,908257,75.44
0.29,AKUMARTHI ASEERVADAMU,AMALAPURAM (SC),5,AJBP,M,ANDHRA PRADESH,1920,685230,663249,908257,75.44
59.78,UPPALAPATI VENKATA KRISHNAM RAJU,NARASAPUR,1,BJP,M,ANDHRA PRADESH,421099,733626,704453,1020409,71.9
36.22,KANUMURU BAPIRAJU,NARASAPUR,2,INC,M,ANDHRA PRADESH,255151,733626,704453,1020409,71.9
4.0,RUDRARAJU SATYANARAYANA RAJU(R.S),NARASAPUR,3,CPM,M,ANDHRA PRADESH,28203,733626,704453,1020409,71.9
52.23,BOLLA BULLI RAMAIAH,ELURU,1,TDP,M,ANDHRA PRADESH,435884,852429,834469,1147205,74.3
44.78,MAGANTI VENKATESWARA RAO (BABU),ELURU,2,INC,M,ANDHRA PRADESH,373653,852429,834469,1147205,74.3
1.57,DAYYALA SAREEN BABU,ELURU,3,IND,M,ANDHRA PRADESH,13068,852429,834469,1147205,74.3
0.82,G.S.R. CHOWDARY,ELURU,4,ATDP,M,ANDHRA PRADESH,6862,852429,834469,1147205,74.3
0.32,MAGANTI SRIDEVI,ELURU,5,NTRTDP(LP),F,ANDHRA PRADESH,2683,852429,834469,1147205,74.3
0.15,KARUTURI RAMAKRISHNA (KITTU),ELURU,6,IND,M,ANDHRA PRADESH,1242,852429,834469,1147205,74.3
0.09,KODURI SRIRAMULU,ELURU,7,IND,M,ANDHRA PRADESH,753,852429,834469,1147205,74.3
0.04,SUNKAVALLI SRIGOPINADH,ELURU,8,IND,M,ANDHRA PRADESH,324,852429,834469,1147205,74.3
54.44,AMBATI BRAHMANAIAH,MACHILIPATNAM,1,TDP,M,ANDHRA PRADESH,387533,730278,711867,1006429,72.56
42.78,KAVURU SAMBASIVA RAO,MACHILIPATNAM,2,INC,M,ANDHRA PRADESH,304537,730278,711867,1006429,72.56
1.7,RAJENDRA PRASADU PUTTAGUNTA,MACHILIPATNAM,3,AJBP,M,ANDHRA PRADESH,12076,730278,711867,1006429,72.56
1.08,KAMESWARA RAO DODDA,MACHILIPATNAM,4,PPOI,M,ANDHRA PRADESH,7721,730278,711867,1006429,72.56
51.96,GADDE RAMA MOHAN,VIJAYAWADA,1,TDP,M,ANDHRA PRADESH,482968,947325,929476,1384393,68.43
42.59,UPENDRA PARVATHANENI,VIJAYAWADA,2,INC,M,ANDHRA PRADESH,395902,947325,929476,1384393,68.43
3.97,KOLLI NAGESWARA RAO,VIJAYAWADA,3,CPI,M,ANDHRA PRADESH,36902,947325,929476,1384393,68.43
0.33,RAMA MOHANA RAO YALAMANCHILI,VIJAYAWADA,4,IND,M,ANDHRA PRADESH,3081,947325,929476,1384393,68.43
0.3,SUBRAMAHESWARA RAO (MANI) YENDURI,VIJAYAWADA,5,PPOI,M,ANDHRA PRADESH,2798,947325,929476,1384393,68.43
0.27,PILLA VENKATESWARA RAO,VIJAYAWADA,6,IND,M,ANDHRA PRADESH,2494,947325,929476,1384393,68.43
0.24,NANDIGAM VISHNU,VIJAYAWADA,7,AJBP,M,ANDHRA PRADESH,2189,947325,929476,1384393,68.43
0.11,SUDHAKARA REDDY LAKKIREDDY,VIJAYAWADA,8,NTRTDP(LP),M,ANDHRA PRADESH,986,947325,929476,1384393,68.43
0.07,RAJANALA GOPIKRISHNA,VIJAYAWADA,9,IND,M,ANDHRA PRADESH,629,947325,929476,1384393,68.43
0.06,BALLARAPU RAJA RAO,VIJAYAWADA,10,IND,M,ANDHRA PRADESH,585,947325,929476,1384393,68.43
0.05,PARASA YESU RATNAM,VIJAYAWADA,11,IND,M,ANDHRA PRADESH,503,947325,929476,1384393,68.43
0.05,KANNEGANTI PURNESWARA RAO,VIJAYAWADA,12,IND,M,ANDHRA PRADESH,439,947325,929476,1384393,68.43
52.63,UMMAREDDY VENKATESWARLU,TENALI,1,TDP,M,ANDHRA PRADESH,339800,659306,645601,960447,68.65
41.32,P.SHIV SHANKER,TENALI,2,INC,M,ANDHRA PRADESH,266771,659306,645601,960447,68.65
5.55,NAGESWARA RAO PARCHURI,TENALI,3,CPM,M,ANDHRA PRADESH,35860,659306,645601,960447,68.65
0.28,NAGARAJU VAIGANDLA,TENALI,4,AJBP,M,ANDHRA PRADESH,1829,659306,645601,960447,68.65
0.21,"DR.AREMANDA SAMBASIVA RAO, M.B.B.S",TENALI,5,NTRTDP(LP),M,ANDHRA PRADESH,1341,659306,645601,960447,68.65
51.08,YEMPARALA VENKATESWARARAO,GUNTUR,1,TDP,M,ANDHRA PRADESH,399065,794709,781254,1239626,64.11
45.92,RAYAPATI SAMBASIVA RAO,GUNTUR,2,INC,M,ANDHRA PRADESH,358735,794709,781254,1239626,64.11
1.26,CHILKA CHANDRAIAH,GUNTUR,3,MCPI(S),M,ANDHRA PRADESH,9849,794709,781254,1239626,64.11
1.21,BHASHYAM NARASAIAH,GUNTUR,4,ATDP,M,ANDHRA PRADESH,9488,794709,781254,1239626,64.11
0.13,GHANTA JAGANNADHARAO,GUNTUR,5,IND,M,ANDHRA PRADESH,1019,794709,781254,1239626,64.11
0.11,POORNACHANDRARAO KOLLA,GUNTUR,6,NTRTDP(LP),M,ANDHRA PRADESH,843,794709,781254,1239626,64.11
0.1,SAIDAIAH PAGADALA,GUNTUR,7,PPOI,M,ANDHRA PRADESH,747,794709,781254,1239626,64.11
0.09,VADDINENI ROSAMMA,GUNTUR,8,AJBP,F,ANDHRA PRADESH,689,794709,781254,1239626,64.11
0.07,C.V.B.KRISHNAMURTHY,GUNTUR,9,IND,M,ANDHRA PRADESH,551,794709,781254,1239626,64.11
0.03,MUVVA VENKATARAO,GUNTUR,10,IND,M,ANDHRA PRADESH,268,794709,781254,1239626,64.11
55.83,D. RAMA NAIDU,BAPATLA,1,TDP,M,ANDHRA PRADESH,399596,727105,715681,1077815,67.46
42.92,JESUDASU SEELAM,BAPATLA,2,INC,M,ANDHRA PRADESH,307139,727105,715681,1077815,67.46
0.68,VENKATESWARLU KATHARU,BAPATLA,3,ATDP,M,ANDHRA PRADESH,4852,727105,715681,1077815,67.46
0.27,BACHINA RADHA KRISHNA MURTHY,BAPATLA,4,IND,M,ANDHRA PRADESH,1922,727105,715681,1077815,67.46
0.18,GURAVA REDDY VALI,BAPATLA,5,NTRTDP(LP),M,ANDHRA PRADESH,1256,727105,715681,1077815,67.46
0.07,CHUNDURI RAMAIAH,BAPATLA,6,IND,M,ANDHRA PRADESH,519,727105,715681,1077815,67.46
0.06,MODADUGU RAMESH BABU,BAPATLA,7,IND,M,ANDHRA PRADESH,397,727105,715681,1077815,67.46
50.27,JANARDHANAREDDY NEDURUMALLI,NARASARAOPET,1,INC,M,ANDHRA PRADESH,432266,878186,859857,1262560,69.56
48.66,LAL JANBASHA S.M,NARASARAOPET,2,TDP,M,ANDHRA PRADESH,418384,878186,859857,1262560,69.56
0.5,KOTESWARARAO SANGALA,NARASARAOPET,3,ATDP,M,ANDHRA PRADESH,4313,878186,859857,1262560,69.56
0.33,SALLAGUNDLA SATISH,NARASARAOPET,4,IND,M,ANDHRA PRADESH,2853,878186,859857,1262560,69.56
0.14,P. SATISH KUMAR,NARASARAOPET,5,IND,M,ANDHRA PRADESH,1232,878186,859857,1262560,69.56
0.09,VAJRALA CHINA AYYAPPA REDDY,NARASARAOPET,6,IND,M,ANDHRA PRADESH,809,878186,859857,1262560,69.56
50.58,KARANAM BALARAMA KRISHNA MURTHY,ONGOLE,1,TDP,M,ANDHRA PRADESH,392840,792803,776640,1190279,66.61
47.76,SREENIVASULU REDDY MAGUNTA,ONGOLE,2,INC,M,ANDHRA PRADESH,370892,792803,776640,1190279,66.61
0.82,BYRAPUNENI SURYANARAYANA,ONGOLE,3,ATDP,M,ANDHRA PRADESH,6394,792803,776640,1190279,66.61
0.43,RAYAPUDI SANGEETHA RAO,ONGOLE,4,SHSP,M,ANDHRA PRADESH,3355,792803,776640,1190279,66.61
0.19,MAKINENI VENKATA NARASIMHAM,ONGOLE,5,JD(S),M,ANDHRA PRADESH,1457,792803,776640,1190279,66.61
0.1,DAGGUPATI SREEDHAR,ONGOLE,6,IND,M,ANDHRA PRADESH,800,792803,776640,1190279,66.61
0.07,ALLA RAMACHANDRA REDDY,ONGOLE,7,IND,M,ANDHRA PRADESH,525,792803,776640,1190279,66.61
0.05,PRASAD BABU KURRE,ONGOLE,8,IND,M,ANDHRA PRADESH,377,792803,776640,1190279,66.61
49.51,RAJESWARAMMA VUKKALA,NELLORE (SC),1,TDP,F,ANDHRA PRADESH,381166,786565,769832,1165144,67.51
44.26,PANABAKA LAKSHMI,NELLORE (SC),2,INC,F,ANDHRA PRADESH,340713,786565,769832,1165144,67.51
4.01,THUMMALAGUNTA PRAPANCHA BHANU RAJU,NELLORE (SC),3,CPM,M,ANDHRA PRADESH,30856,786565,769832,1165144,67.51
1.23,KOMARIKA JAYARAMAIAH,NELLORE (SC),4,MCPI(S),M,ANDHRA PRADESH,9444,786565,769832,1165144,67.51
0.83,K.D.RAMESH BABU,NELLORE (SC),5,AJBP,M,ANDHRA PRADESH,6365,786565,769832,1165144,67.51
0.17,BATTU RAGHU RAMAIAH,NELLORE (SC),6,PPOI,M,ANDHRA PRADESH,1288,786565,769832,1165144,67.51
48.89,DR.N.VENKATASWAMY,TIRUPATHI (SC),1,BJP,M,ANDHRA PRADESH,386478,824694,790437,1199710,68.74
47.31,CHINTHA MOHAN,TIRUPATHI (SC),2,INC,M,ANDHRA PRADESH,373981,824694,790437,1199710,68.74
1.56,T.GUNASEKHAR,TIRUPATHI (SC),3,ATDP,M,ANDHRA PRADESH,12311,824694,790437,1199710,68.74
