%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
1.03,KATTAMANCHI PRABHAKAR,TIRUPATHI (SC),4,IND,M,ANDHRA PRADESH,8143,824694,790437,1199710,68.74
0.98,P.CHIRANJEEVI,TIRUPATHI (SC),5,PPOI,M,ANDHRA PRADESH,7775,824694,790437,1199710,68.74
0.22,POLASI MANI,TIRUPATHI (SC),6,AJBP,M,ANDHRA PRADESH,1749,824694,790437,1199710,68.74
50.18,NOOTHANA KALVA RAMAKRISHNA REDDY,CHITTOOR,1,TDP,M,ANDHRA PRADESH,419208,853778,835406,1140219,74.88
47.95,R.GOPINATH,CHITTOOR,2,INC,M,ANDHRA PRADESH,400570,853778,835406,1140219,74.88
1.55,G.ABDUL RAWOOF,CHITTOOR,3,ATDP,M,ANDHRA PRADESH,12972,853778,835406,1140219,74.88
0.24,T.BABU REDDY,CHITTOOR,4,IND,M,ANDHRA PRADESH,1970,853778,835406,1140219,74.88
0.08,T.G.SURESH,CHITTOOR,5,IND,M,ANDHRA PRADESH,686,853778,835406,1140219,74.88
48.76,GUNIPATI RAMAIAH,RAJAMPET,1,TDP,M,ANDHRA PRADESH,322107,678817,660558,946311,71.73
44.65,ANNAIAHGARI SAIPRATHAP,RAJAMPET,2,INC,M,ANDHRA PRADESH,294937,678817,660558,946311,71.73
3.4,MAHABOOB BASHA SHAIK,RAJAMPET,3,ATDP,M,ANDHRA PRADESH,22473,678817,660558,946311,71.73
1.88,PRASAD REDDY KOKKANTI,RAJAMPET,4,IND,M,ANDHRA PRADESH,12447,678817,660558,946311,71.73
0.49,OBAIAH NAIDU KASTURI,RAJAMPET,5,IND,M,ANDHRA PRADESH,3241,678817,660558,946311,71.73
0.3,G. SUBBARAYUDU,RAJAMPET,6,AJBP,M,ANDHRA PRADESH,1971,678817,660558,946311,71.73
0.21,KAKALAPATHI GEORGE STEPHAN,RAJAMPET,7,JD(S),M,ANDHRA PRADESH,1390,678817,660558,946311,71.73
0.17,RAMESH REDDY SIDDAVARAM,RAJAMPET,8,RJD,M,ANDHRA PRADESH,1124,678817,660558,946311,71.73
0.1,KUNI NAGESWARA RAO,RAJAMPET,9,NTRTDP(LP),M,ANDHRA PRADESH,643,678817,660558,946311,71.73
0.03,ASADI VENKATADRI,RAJAMPET,10,IND,M,ANDHRA PRADESH,225,678817,660558,946311,71.73
50.89,VIVEKANANDA REDDY Y.S.,CUDDAPAH,1,INC,M,ANDHRA PRADESH,367833,739109,722854,1090670,67.77
47.21,KANDULA RAJAMOHAN REDDY,CUDDAPAH,2,TDP,M,ANDHRA PRADESH,341236,739109,722854,1090670,67.77
0.72,SIVA SANKARA REDDY DEVIREDDY,CUDDAPAH,3,IND,M,ANDHRA PRADESH,5177,739109,722854,1090670,67.77
0.47,ORUGANTI BALASUBBAIAH,CUDDAPAH,4,IND,M,ANDHRA PRADESH,3389,739109,722854,1090670,67.77
0.16,C. GOPALA,CUDDAPAH,5,IND,M,ANDHRA PRADESH,1152,739109,722854,1090670,67.77
0.13,NANDYALA RAGHAVA REDDY,CUDDAPAH,6,NCP,M,ANDHRA PRADESH,961,739109,722854,1090670,67.77
0.11,ADINARAYANA REDDY CHADIPIRALA,CUDDAPAH,7,NTRTDP(LP),M,ANDHRA PRADESH,823,739109,722854,1090670,67.77
0.11,A.M.V. PRASAD,CUDDAPAH,8,IND,M,ANDHRA PRADESH,774,739109,722854,1090670,67.77
0.09,R. VISWANADHA REDDY,CUDDAPAH,9,IND,M,ANDHRA PRADESH,653,739109,722854,1090670,67.77
0.07,YEEDALA SIVA NAGI REDDY,CUDDAPAH,10,IND,M,ANDHRA PRADESH,506,739109,722854,1090670,67.77
0.05,V. NARASAIAH,CUDDAPAH,11,IND,M,ANDHRA PRADESH,350,739109,722854,1090670,67.77
56.25,B.K. PARTHASARATHI,HINDUPUR,1,TDP,M,ANDHRA PRADESH,432575,792868,769054,1151606,68.85
38.74,S. GANGADHAR,HINDUPUR,2,INC,M,ANDHRA PRADESH,297939,792868,769054,1151606,68.85
2.03,PALE JAYARAM NAIK,HINDUPUR,3,IND,M,ANDHRA PRADESH,15608,792868,769054,1151606,68.85
1.1,G. JAYA CHANDRA REDDY,HINDUPUR,4,IND,M,ANDHRA PRADESH,8445,792868,769054,1151606,68.85
1.04,P. RAVI CHANDRA,HINDUPUR,5,ATDP,M,ANDHRA PRADESH,8003,792868,769054,1151606,68.85
0.84,SREERAM PRASAD,HINDUPUR,6,PPOI,M,ANDHRA PRADESH,6484,792868,769054,1151606,68.85
50.27,KALAVA SRINIVASULU,ANANTAPUR,1,TDP,M,ANDHRA PRADESH,378488,772471,752838,1226314,62.99
47.47,ANANTHA VENKATA RAMI REDDY,ANANTAPUR,2,INC,M,ANDHRA PRADESH,357386,772471,752838,1226314,62.99
1.97,A. RAMACHANDRA CHOWDARY,ANANTAPUR,3,ATDP,M,ANDHRA PRADESH,14823,772471,752838,1226314,62.99
0.17,Y. POTHULAIAH,ANANTAPUR,4,IND,M,ANDHRA PRADESH,1251,772471,752838,1226314,62.99
0.12,BHEEMALINGAIAH. H,ANANTAPUR,5,IND,M,ANDHRA PRADESH,890,772471,752838,1226314,62.99
51.27,KAMBHALAPATI E. KRISHNA MURTHY,KURNOOL,1,TDP,M,ANDHRA PRADESH,385688,773629,752286,1163375,66.5
48.01,KOTLA VIJAYA BHASKARA REDDY,KURNOOL,2,INC,M,ANDHRA PRADESH,361201,773629,752286,1163375,66.5
0.41,ADI NARAYANA REDDY.H,KURNOOL,3,PPOI,M,ANDHRA PRADESH,3091,773629,752286,1163375,66.5
0.22,A.AYYAPU REDDY,KURNOOL,4,IND,M,ANDHRA PRADESH,1680,773629,752286,1163375,66.5
0.08,V.PRABHAKARA REDDY,KURNOOL,5,IND,M,ANDHRA PRADESH,626,773629,752286,1163375,66.5
53.68,BHUMA NAGI REDDY,NANDYAL,1,TDP,M,ANDHRA PRADESH,391655,749179,729632,1116553,67.1
43.73,GANGULA PRATHAPA REDDY,NANDYAL,2,INC,M,ANDHRA PRADESH,319046,749179,729632,1116553,67.1
1.78,E.BALA CHENNAIAH,NANDYAL,3,IND,M,ANDHRA PRADESH,12963,749179,729632,1116553,67.1
0.27,SINGAM VENKATA RAMI REDDY,NANDYAL,4,IND,M,ANDHRA PRADESH,1999,749179,729632,1116553,67.1
0.21,L.PULLA REDDY,NANDYAL,5,IND,M,ANDHRA PRADESH,1528,749179,729632,1116553,67.1
0.21,TELUGU RAMANJANEYULU,NANDYAL,6,NTRTDP(LP),M,ANDHRA PRADESH,1517,749179,729632,1116553,67.1
0.07,SUDDAMALLA SANJEEVA REDDY,NANDYAL,7,IND,M,ANDHRA PRADESH,497,749179,729632,1116553,67.1
0.06,YERASU SRINIVASA REDDY,NANDYAL,8,IND,M,ANDHRA PRADESH,427,749179,729632,1116553,67.1
53.11,DR.MANDA JAGANNATH,NAGARKURNOOL (SC),1,TDP,M,ANDHRA PRADESH,431095,843025,811672,1212569,69.52
44.87,DR.MALLU RAVI,NAGARKURNOOL (SC),2,INC,M,ANDHRA PRADESH,364195,843025,811672,1212569,69.52
0.82,PAMENA BHEEM BHARAT,NAGARKURNOOL (SC),3,IND,M,ANDHRA PRADESH,6658,843025,811672,1212569,69.52
0.7,D.KIRAN KUMAR,NAGARKURNOOL (SC),4,IND,M,ANDHRA PRADESH,5644,843025,811672,1212569,69.52
0.5,BUDDULA SRINIVASULU,NAGARKURNOOL (SC),5,IND,M,ANDHRA PRADESH,4080,843025,811672,1212569,69.52
49.46,A.P.JITENDER REDDY,MAHABUBNAGAR,1,BJP,M,ANDHRA PRADESH,391588,830725,791720,1249455,66.49
43.03,DR.MALLIKARJUN,MAHABUBNAGAR,2,INC,M,ANDHRA PRADESH,340693,830725,791720,1249455,66.49
4.39,ABDUL RAB JAMI,MAHABUBNAGAR,3,MCPI(S),M,ANDHRA PRADESH,34760,830725,791720,1249455,66.49
1.18,SMT.T.SUREKHA,MAHABUBNAGAR,4,AJBP,F,ANDHRA PRADESH,9366,830725,791720,1249455,66.49
0.92,BHEEMAYYA VAKIL,MAHABUBNAGAR,5,NCP,M,ANDHRA PRADESH,7308,830725,791720,1249455,66.49
0.53,L.RAM REDDY,MAHABUBNAGAR,6,IND,M,ANDHRA PRADESH,4208,830725,791720,1249455,66.49
0.26,ABDUL MAJEED KHAN,MAHABUBNAGAR,7,IND,M,ANDHRA PRADESH,2047,830725,791720,1249455,66.49
0.22,JAGADEESHWAR REDDY,MAHABUBNAGAR,8,IND,M,ANDHRA PRADESH,1750,830725,791720,1249455,66.49
41.36,SULTAN SALAHUDDIN OWAISI,HYDERABAD,1,AIMIM,M,ANDHRA PRADESH,448165,1083678,1083678,1567225,69.15
35.74,BADDAM BAL REDDY,HYDERABAD,2,BJP,M,ANDHRA PRADESH,387344,1083678,1083678,1567225,69.15
18.51,KONDA LAXMA REDDY,HYDERABAD,3,INC,M,ANDHRA PRADESH,200642,1083678,1083678,1567225,69.15
1.39,JAI PRAKASH SINGH LODHI,HYDERABAD,4,ATDP,M,ANDHRA PRADESH,15074,1083678,1083678,1567225,69.15
1.2,KHUDRATULLA KHAN,HYDERABAD,5,NTRTDP(LP),M,ANDHRA PRADESH,13041,1083678,1083678,1567225,69.15
1.05,MIR HADI ALI,HYDERABAD,6,IND,M,ANDHRA PRADESH,11328,1083678,1083678,1567225,69.15
0.75,BHAGWAN DASS,HYDERABAD,7,IND,M,ANDHRA PRADESH,8084,1083678,1083678,1567225,69.15
52.19,BANDARU DATTATRAYA,SECUNDERABAD,1,BJP,M,ANDHRA PRADESH,506626,970791,970791,1770024,54.85
42.13,NADENDLA BHASKARA RAO,SECUNDERABAD,2,INC,M,ANDHRA PRADESH,409000,970791,970791,1770024,54.85
1.39,MOHD. ADAM MALIK,SECUNDERABAD,3,MBT,M,ANDHRA PRADESH,13461,970791,970791,1770024,54.85
1.33,K.S.GANESH RAO,SECUNDERABAD,4,JD(S),M,ANDHRA PRADESH,12949,970791,970791,1770024,54.85
0.89,AMBATI KRISHNA MURTHY,SECUNDERABAD,5,AJBP,M,ANDHRA PRADESH,8611,970791,970791,1770024,54.85
0.46,D.RAMESH PATNAIK,SECUNDERABAD,6,IND,M,ANDHRA PRADESH,4475,970791,970791,1770024,54.85
0.4,M. SOLOMON RAJU,SECUNDERABAD,7,ATDP,M,ANDHRA PRADESH,3866,970791,970791,1770024,54.85
0.22,BANDARI KRISHNA MUDIRAJ,SECUNDERABAD,8,IND,M,ANDHRA PRADESH,2130,970791,970791,1770024,54.85
0.2,S. JOHN,SECUNDERABAD,9,RPI,M,ANDHRA PRADESH,1919,970791,970791,1770024,54.85
0.2,KANNAM REDDI SATTI RAJU,SECUNDERABAD,10,IND,M,ANDHRA PRADESH,1910,970791,970791,1770024,54.85
0.18,NOOKALA CHINNA SATYANARAYANA,SECUNDERABAD,11,PPOI,M,ANDHRA PRADESH,1795,970791,970791,1770024,54.85
0.18,TAHER KAMAL KHUNDMIRI,SECUNDERABAD,12,IND,M,ANDHRA PRADESH,1793,970791,970791,1770024,54.85
0.13,T.N.JAYANAND REDDY,SECUNDERABAD,13,IND,M,ANDHRA PRADESH,1222,970791,970791,1770024,54.85
0.11,M.B.CHANDER,SECUNDERABAD,14,IND,M,ANDHRA PRADESH,1034,970791,970791,1770024,54.85
55.95,M. RAJAIAH,SIDDIPET (SC),1,TDP,M,ANDHRA PRADESH,583346,1075422,1042532,1622094,66.3
41.21,YELLAIAH NANDI,SIDDIPET (SC),2,INC,M,ANDHRA PRADESH,429625,1075422,1042532,1622094,66.3
1.63,DR. N.A KRISHNA,SIDDIPET (SC),3,ATDP,M,ANDHRA PRADESH,16944,1075422,1042532,1622094,66.3
