,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
0,VISWANDHAM KANITHI,1989,ANDHRA PRADESH,SRIKAKULAM,INC,42.6
1,APPAYYADORA HANUMANTHLI,1989,ANDHRA PRADESH,SRIKAKULAM,TDP,37.78
2,KINJARAPU YERRANNAIDU,1989,ANDHRA PRADESH,SRIKAKULAM,IND,15.06
3,ATTADA APPALANAIDU,1989,ANDHRA PRADESH,SRIKAKULAM,BJP,1.96
4,ATLA APPOJAMMA (W),1989,ANDHRA PRADESH,SRIKAKULAM,IND,1.05
5,KINJARAPU RAMAMOHANNAIDU,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.91
6,LABHALA LOKESHWARA RAO,1989,ANDHRA PRADESH,SRIKAKULAM,JP,0.51
7,TARA SURYANARAYANA,1989,ANDHRA PRADESH,SRIKAKULAM,IND,0.14
8,VIJAYARAMARAJU SATRUCHARLA,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),INC,53.01
9,KISHORE CHANDRA SURYANARAYANADEO VIRICHERLA,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),ICS(SCS),43.61
10,ARIKA GUMPASWAMMY,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,2.41
11,AYODHYA NIMMAKA,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,0.97
12,ANANDA GAJAPATHI RAJU POOSAPATHI,1989,ANDHRA PRADESH,BOBBILI,INC,49.59
13,KEMBURU RAMA MOHANA RAO,1989,ANDHRA PRADESH,BOBBILI,TDP,44.62
14,PAKA RAJA RAO,1989,ANDHRA PRADESH,BOBBILI,BJP,2.61
15,GOTTAPU APPALA NAIDU,1989,ANDHRA PRADESH,BOBBILI,IND,1.94
16,BOTCHA RAMULU,1989,ANDHRA PRADESH,BOBBILI,IND,0.54
17,PABBINEEDU VENKATESWARA RAO,1989,ANDHRA PRADESH,BOBBILI,IND,0.24
18,APPARAO GUDIVADA,1989,ANDHRA PRADESH,BOBBILI,IND,0.21
19,VENKATARAO MESSALA,1989,ANDHRA PRADESH,BOBBILI,IND,0.16
20,SOMU SREENIVASA RAO,1989,ANDHRA PRADESH,BOBBILI,IND,0.1
21,M.V.V.S. MURTHI,1989,ANDHRA PRADESH,VISAKHAPATNAM,TDP,45.82
22,UMA GAJAPATHIRAJU (W),1989,ANDHRA PRADESH,VISAKHAPATNAM,INC,45.0
23,CHALAPATHI RAO P.V.,1989,ANDHRA PRADESH,VISAKHAPATNAM,BJP,6.28
24,GOLLAKOTI VISHNU MURTHY,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.99
25,MALLA SATTANARAYANA,1989,ANDHRA PRADESH,VISAKHAPATNAM,JP,0.38
26,BHEEMARASETTI VISWANATHAM,1989,ANDHRA PRADESH,VISAKHAPATNAM,BSP,0.34
27,MAMIDI SOMINAIDU,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.29
28,JOGA VENKATARAMANA YADAV,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.27
29,PARISA VENKATANARAYANA,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.19
30,PALURI SESHUMAMBA (W),1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.18
31,N.V. RAJU,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.13
32,MANTHENA KRISHAN MURTHYRAJU,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.12
33,KARREDDULA KAMALAKUMARI (W),1989,ANDHRA PRADESH,BHADRACHALAM (ST),INC,48.23
34,RAMAIAH SODE,1989,ANDHRA PRADESH,BHADRACHALAM (ST),CPI,39.31
35,GORLE DHANUNJAYA RAJU,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BJP,3.92
36,BONKU PRABHAKARA RAO,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,3.4
37,KURSAM ACHAIAH,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,1.84
38,BAPANNA DORA,1989,ANDHRA PRADESH,BHADRACHALAM (ST),BSP,1.36
39,BAKURU KONDABABU,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.77
40,JANSHI (W),1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,0.64
41,VANI RAMANA RAO P. (W),1989,ANDHRA PRADESH,BHADRACHALAM (ST),JP,0.53
42,KONATHALA RAMAKRISHNA,1989,ANDHRA PRADESH,ANAKAPALLI,INC,44.67
43,APPALANARASIMHAM P.,1989,ANDHRA PRADESH,ANAKAPALLI,TDP,42.76
44,SANYASINAIDU VEESAM,1989,ANDHRA PRADESH,ANAKAPALLI,BJP,7.82
45,YELLAPPU SUBRAMANYAM,1989,ANDHRA PRADESH,ANAKAPALLI,IND,2.43
46,APPARAO KIRLA,1989,ANDHRA PRADESH,ANAKAPALLI,JP,0.93
47,POOSARLA TRIMURTHULU,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.76
48,BADDI SURANARAYANA,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.56
49,SURAYANARAYANA RAJU KUCHERLAPATHI,1989,ANDHRA PRADESH,ANAKAPALLI,IND,0.07
50,THOTA SUBBARAO,1989,ANDHRA PRADESH,KAKINADA,TDP,48.85
51,MANGAPATI PALLAMRAJU MALLIPUDI,1989,ANDHRA PRADESH,KAKINADA,INC,42.85
52,RAO VENKATA MAHEEPATI RAMA RATNA RAO,1989,ANDHRA PRADESH,KAKINADA,BJP,3.55
53,THOTA RAMANJANEYULU,1989,ANDHRA PRADESH,KAKINADA,IPF,1.24
54,CHOKKA TATARAO,1989,ANDHRA PRADESH,KAKINADA,BSP,1.15
55,KOTHAM VENKATA SRINIVAS RAO (KOTI),1989,ANDHRA PRADESH,KAKINADA,IND,0.91
56,CHINITAPALLI KANAKARAO,1989,ANDHRA PRADESH,KAKINADA,JP,0.77
57,MADDUKURI SATYA SEVAK,1989,ANDHRA PRADESH,KAKINADA,IND,0.25
58,GIDLA SIMHACHALAM,1989,ANDHRA PRADESH,KAKINADA,IND,0.18
59,GURRAM KAMESWARAO,1989,ANDHRA PRADESH,KAKINADA,IND,0.17
60,VADLAMANI VENKATA RAMANA,1989,ANDHRA PRADESH,KAKINADA,IND,0.09
61,K.V.R. CHOWDARY,1989,ANDHRA PRADESH,RAJAHMUNDRY,TDP,51.54
62,JAMUNA (W),1989,ANDHRA PRADESH,RAJAHMUNDRY,INC,41.41
63,KANTIPUDI SARVARAYUDU,1989,ANDHRA PRADESH,RAJAHMUNDRY,BJP,3.91
64,MOTHA VENKATARAO,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,1.09
65,GURUJAPU ATCHAIRAJU,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.8
66,VASAMSETTI SRIRAMARAO,1989,ANDHRA PRADESH,RAJAHMUNDRY,BSP,0.42
67,KOKA RAMA KRISHNA RAO,1989,ANDHRA PRADESH,RAJAHMUNDRY,JP,0.23
68,SATYAVATHI UDATHA (W),1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.16
69,B.S. RAO,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.14
70,SRIRAMA KRISHNA (SRI RAM),1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.11
71,S.S. RAO,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.08
72,SUNKARA VENKATA RAMANA MURTHY,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.07
73,RAJA SUBBARAO,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.03
74,BALAYOGI G.M.C.,1989,ANDHRA PRADESH,AMALAPURAM (SC),TDP,53.19
75,KUSUNMA KRISHAN MURTHY,1989,ANDHRA PRADESH,AMALAPURAM (SC),INC,36.18
76,JANGA RAMADASU,1989,ANDHRA PRADESH,AMALAPURAM (SC),BJP,5.54
77,N.M. RUSHI,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,1.79
78,NAKKA CHITTIBABU,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,1.77
79,GEDDADI SIVASANKAR,1989,ANDHRA PRADESH,AMALAPURAM (SC),BSP,0.6
80,CHUTTUGULLA VEERASWAMY,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.35
81,SURYANARAYANA MURTHY BADUGU,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.2
82,BONTHU RAMESH BABU,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.16
83,RAPAKA JHANSI LAKSHMI BAI (W),1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.15
84,PRATURI DAMAYAN KUMAR,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.07
85,VIJAYAKUMAR RAJU BHUPATHIRAJU,1989,ANDHRA PRADESH,NARASAPUR,TDP,51.93
86,KRISHNAM RAJU,1989,ANDHRA PRADESH,NARASAPUR,INC,42.36
87,KURELLA RANGAYYA NAIDU (CHIRANJEEVI),1989,ANDHRA PRADESH,NARASAPUR,BJP,4.61
88,KOTIKALPUDI PAKEERAIH,1989,ANDHRA PRADESH,NARASAPUR,JP,0.32
89,SANTARAO GUDAPATI,1989,ANDHRA PRADESH,NARASAPUR,BSP,0.21
90,VENKATA RATNAM TEEPARTHY (W),1989,ANDHRA PRADESH,NARASAPUR,IND,0.13
91,CHINTAPALLI GURU PRASADA RAO,1989,ANDHRA PRADESH,NARASAPUR,IND,0.11
92,GUDDALA SATYANARAYANA,1989,ANDHRA PRADESH,NARASAPUR,IND,0.08
93,ALLURI JAGANNADHA RAJU,1989,ANDHRA PRADESH,NARASAPUR,IND,0.07
94,RAMABADRI RAJU MANTHENA,1989,ANDHRA PRADESH,NARASAPUR,IND,0.05
95,VELURI VENKATA VENU,1989,ANDHRA PRADESH,NARASAPUR,IND,0.04
96,VEGESNA BANGAR RAJU,1989,ANDHRA PRADESH,NARASAPUR,IND,0.04
97,MANDELA SREERAMA KRISHNA RAO,1989,ANDHRA PRADESH,NARASAPUR,MCPI,0.04
98,BOLLA BULLIRAMAIAH,1989,ANDHRA PRADESH,ELURU,TDP,52.45
99,KRISHNA,1989,ANDHRA PRADESH,ELURU,INC,45.51
100,NARSIMHA RAO KORADA,1989,ANDHRA PRADESH,ELURU,BJP,0.82
101,SAGIRAJU SURYANARAYANARAJU,1989,ANDHRA PRADESH,ELURU,IND,0.35
102,KURMANAIDU GEDELA,1989,ANDHRA PRADESH,ELURU,JP,0.33
103,GUDURI SARVESWARA RAO,1989,ANDHRA PRADESH,ELURU,IND,0.11
104,BOMMI SIMHACHALAM,1989,ANDHRA PRADESH,ELURU,IND,0.09
105,ADUSUMILLI SAROJINI (W),1989,ANDHRA PRADESH,ELURU,MCPI,0.08
106,ANGAIJALA SATYANARAYANA,1989,ANDHRA PRADESH,ELURU,IND,0.06
107,SIKILE DAVID PRABHAKAR,1989,ANDHRA PRADESH,ELURU,IND,0.05
108,ANAPARTI PRAKASA RAO,1989,ANDHRA PRADESH,ELURU,IND,0.05
109,KODURI SREERAMULU,1989,ANDHRA PRADESH,ELURU,IND,0.04
110,SUNKAVALLI BRAHMANANDAM,1989,ANDHRA PRADESH,ELURU,IND,0.03
111,POTLURI VISHNU SANKARA PRASAD,1989,ANDHRA PRADESH,ELURU,IND,0.03
112,K.P. REDDAIAH,1989,ANDHRA PRADESH,MACHILIPATNAM,TDP,49.02
113,SAMBASIVA RAO KAVURI,1989,ANDHRA PRADESH,MACHILIPATNAM,INC,44.53
114,KOLLIPARA DHANA LAKSHMI (W),1989,ANDHRA PRADESH,MACHILIPATNAM,BJP,3.99
115,SHIVA SANKARA VEERANJANEYULU THOTAKURA,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.73
116,MARUMUDI VITOTOR PRASAD,1989,ANDHRA PRADESH,MACHILIPATNAM,BSP,0.31
117,ATHMURI SUSEELA (W),1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.17
118,THOTA KRISHNA BIPIN CHANDRA PAL,1989,ANDHRA PRADESH,MACHILIPATNAM,JP,0.16
119,KOTA JAYAPAL CHOWDARY,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.11
120,ANAM RADHAKRISHNA MURTHY,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.11
121,MUNAGALA TIRUPATI REDDI,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.1
122,KUNAPAREDDY PITCHESWARA RAO,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.08
123,VENKATESWARARAO KAMINENI,1989,ANDHRA PRADESH,MACHILIPATNAM,NBP,0.08
124,DODDA KAMESWARA RAO,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.08
125,KETHE MADHAVA CHAKRADHARA RAO,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.07
126,KANDIMALLA VEERA RAGHAIAH,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.06
127,BHAVANI SANKARA RAO KIRLAMPALLI,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.06
128,YENDURI SUBRAHMANYES WARA RAO,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.05
129,BADUGU BABU RAO,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.05
130,MANEYPALLI NAGA SITA RAMANJANEYULU,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.04
131,SALAPATI LAKSHMIPATI,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.04
132,YELLAMRAJU GANAPATHI BOSE,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
133,PANDALANENI SRIMANNARAYANA,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
134,PAPPALA RADHA KRISHNA,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
135,VENKATA NACHARAIAH TADIKONDA,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.03
136,KOTE DEVANANDAM,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.02
137,VADDE SOBHANDRESWARA RAO,1989,ANDHRA PRADESH,VIJAYAWADA,TDP,48.89
138,CHENNUPATI VIDYA (W),1989,ANDHRA PRADESH,VIJAYAWADA,INC,43.47
139,VELAGAPUDI SIVA PRASAD,1989,ANDHRA PRADESH,VIJAYAWADA,BJP,4.19
140,JOGI RAMAKRISHNA,1989,ANDHRA PRADESH,VIJAYAWADA,IND,1.74
141,PADAMATA BRAHMAIAH,1989,ANDHRA PRADESH,VIJAYAWADA,BSP,0.28
142,YALAMANCHILI RAMA KRISHNA,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.25
143,YARLAGADDA KRISHNA MURTHY,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.24
144,Y.V. HANUMANTHA RAO,1989,ANDHRA PRADESH,VIJAYAWADA,JP,0.18
145,VIJAYA VENKATA RAO VELLANKI,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.16
146,MOHEMMAD GHOUSE,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.12
147,VAGICHERLA HARI NARAYANA,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.11
148,KOMMINENI SAMBASIVA RAO ALIAS BADE SAMBASIVA RAO,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.1
149,KRISTU BHAGAVANDAS NETHALA,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.08
150,KOTA SANKARA SHARMA,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.05
151,KALAPALA PRAKASH RAO,1989,ANDHRA PRADESH,VIJAYAWADA,NBP,0.04
152,YALAMARTHI SATYANARAYANA,1989,ANDHRA PRADESH,VIJAYAWADA,MSD,0.04
153,KUNUKU SATYANARAYANA,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.03
154,MOSES BOPPURI,1989,ANDHRA PRADESH,VIJAYAWADA,BKUS,0.02
155,UMMAREDDY VENKATESWARLU,1989,ANDHRA PRADESH,TENALI,TDP,47.74
156,BASAVAPUNNAIAH SINGAM,1989,ANDHRA PRADESH,TENALI,INC,45.82
157,ALLA NAUROJI REDDY,1989,ANDHRA PRADESH,TENALI,BJP,4.8
158,OTTIPROLU JOHNSON,1989,ANDHRA PRADESH,TENALI,IND,1.1
159,NEMALIKANTI RUTHU (W),1989,ANDHRA PRADESH,TENALI,BSP,0.23
160,KONDAMUDI RAJASEKHAR,1989,ANDHRA PRADESH,TENALI,IND,0.15
161,KAMARAJUGADDA SRINIVAS,1989,ANDHRA PRADESH,TENALI,IND,0.07
162,RACHABATHUNI SRIGIRIMURTHY,1989,ANDHRA PRADESH,TENALI,IND,0.05
163,AMERIENENI VEERARAGHAVAIAH,1989,ANDHRA PRADESH,TENALI,IND,0.04
164,LAL JAN BASHA S.M.,1989,ANDHRA PRADESH,GUNTUR,TDP,47.55
165,N.G. RANGA,1989,ANDHRA PRADESH,GUNTUR,INC,45.27
166,HANUMANTHA RAO MUDDANA,1989,ANDHRA PRADESH,GUNTUR,BJP,3.88
167,GUDAPATI VENKATESWARLU,1989,ANDHRA PRADESH,GUNTUR,IND,1.41
168,ANKAIAH MEDURI,1989,ANDHRA PRADESH,GUNTUR,JP,0.27
169,UPPUTHOLLA JANAKI RAJU,1989,ANDHRA PRADESH,GUNTUR,BSP,0.25
170,LANKA RAMA MOHANA RAO,1989,ANDHRA PRADESH,GUNTUR,IND,0.22
171,SIKHA RAJA GOPALA RAO,1989,ANDHRA PRADESH,GUNTUR,IND,0.22
172,CHILUKA THEOPHILUS,1989,ANDHRA PRADESH,GUNTUR,IND,0.14
173,GAZULA SRAVAN KUMAR,1989,ANDHRA PRADESH,GUNTUR,IND,0.11
174,KASU RADHA KRISHNA REDDY,1989,ANDHRA PRADESH,GUNTUR,RPK,0.09
175,KANNA SURYANARAYANA,1989,ANDHRA PRADESH,GUNTUR,IND,0.09
176,GANGADHARA KOTESWARA RAO DIDUGU,1989,ANDHRA PRADESH,GUNTUR,IND,0.08
177,TANNEERU SEETHA RAMAIAH,1989,ANDHRA PRADESH,GUNTUR,IND,0.08
178,ABDUL RAHEEM BAIG,1989,ANDHRA PRADESH,GUNTUR,IND,0.06
179,SHAIK HUSSAIN,1989,ANDHRA PRADESH,GUNTUR,IND,0.06
180,BATTULA MOHANRAO,1989,ANDHRA PRADESH,GUNTUR,IND,0.06
181,SUBBARAO P.,1989,ANDHRA PRADESH,GUNTUR,IND,0.05
182,JANAMALA BRAHMAIH,1989,ANDHRA PRADESH,GUNTUR,IND,0.05
183,THOTAKURA CHENCHIAH,1989,ANDHRA PRADESH,GUNTUR,IND,0.04
184,JACOB DHANARAJ,1989,ANDHRA PRADESH,GUNTUR,IND,0.01
185,VENKATESWARA RAO DAGGUBATI,1989,ANDHRA PRADESH,BAPATLA,TDP,46.82
186,SALAGALA BENJAMIN,1989,ANDHRA PRADESH,BAPATLA,INC,46.64
187,CHANDRA SEKHARA RAO NASANA,1989,ANDHRA PRADESH,BAPATLA,BJP,2.99
188,CHALLAGALI KOTAMMARAJU,1989,ANDHRA PRADESH,BAPATLA,IND,1.27
189,MECHANIC NAYUDU,1989,ANDHRA PRADESH,BAPATLA,IND,0.58
190,KISHORE JASTI,1989,ANDHRA PRADESH,BAPATLA,IND,0.23
191,PALLAPOTHU SREE NIVASA RAO,1989,ANDHRA PRADESH,BAPATLA,JP,0.19
192,SK. BABULLA,1989,ANDHRA PRADESH,BAPATLA,IND,0.11
193,VELIDI SIVA RAMA PRASAD,1989,ANDHRA PRADESH,BAPATLA,IND,0.1
194,TALLURI ANKAMMA,1989,ANDHRA PRADESH,BAPATLA,IND,0.09
195,KOLLA SUBHASH BABU,1989,ANDHRA PRADESH,BAPATLA,IND,0.09
196,SAVA VENKATA SUBBIAH,1989,ANDHRA PRADESH,BAPATLA,IND,0.08
197,R. SANGEETHA RAO,1989,ANDHRA PRADESH,BAPATLA,SSD,0.08
198,MEDIKONDA SEKHARA RAO,1989,ANDHRA PRADESH,BAPATLA,IND,0.07
199,CHEBROLU RAMA MOHANA RAO,1989,ANDHRA PRADESH,BAPATLA,IND,0.07
200,KANCHERAL PRAKASA RAO,1989,ANDHRA PRADESH,BAPATLA,BSP,0.07
201,GOLI RATHANKUMAR,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
202,DATTATREYA K. KANNAIAH,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
203,GATTU UNAMAHESWARA RAO,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
204,ATCHUKOLU VENKAYAMMA (W),1989,ANDHRA PRADESH,BAPATLA,IND,0.06
205,CHALLAGUNDLA SURYANARAYANA,1989,ANDHRA PRADESH,BAPATLA,IND,0.06
206,BATHULA RAMA MOHANA RAO,1989,ANDHRA PRADESH,BAPATLA,IND,0.05
207,VUTUKURI VENKATESWARLU,1989,ANDHRA PRADESH,BAPATLA,IND,0.05
208,MUPPALLA SATYANARAYANA,1989,ANDHRA PRADESH,BAPATLA,IND,0.04
209,KANDUKURI UMAPATHY SRI RAMULU PAMULA,1989,ANDHRA PRADESH,BAPATLA,IND,0.03
210,SRI RAMULU PAMULA,1989,ANDHRA PRADESH,BAPATLA,IND,0.03
211,AVVARU KOTISWAMY,1989,ANDHRA PRADESH,BAPATLA,IND,0.02
212,KATIKALA JAYA RAO,1989,ANDHRA PRADESH,BAPATLA,IND,0.02
213,KASU VENKATA KRISHNA REDDY,1989,ANDHRA PRADESH,NARASARAOPET,INC,52.14
214,ANISETTY PADMAVATHI (W),1989,ANDHRA PRADESH,NARASARAOPET,TDP,42.79
215,GUTHA SUBBARAO,1989,ANDHRA PRADESH,NARASARAOPET,BJP,3.25
216,ADURI RUTH BANYAN,1989,ANDHRA PRADESH,NARASARAOPET,BSP,0.39
217,MOOKRAPU JOHN,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.33
218,ANUMOLA NARAYANA RAO,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.32
219,BETHAPUDI SESHA PRASAD,1989,ANDHRA PRADESH,NARASARAOPET,JP,0.21
220,KOTA CHENCHAIAH,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.19
221,CHEETIRALA VENKATESWARA RAO,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.15
222,S.V. RAO,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.07
223,DEVARLU SUBBARAO,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.05
224,POODOTA SATISH KUMAR,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.05
225,GOTTIPATI LAKSHMI NARAYANA,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.03
226,VEMULAPALLI VENKATA NARASAIAH,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.03
227,MANGUNTA SUBBARAMA REDDY,1989,ANDHRA PRADESH,ONGOLE,INC,49.67
228,DEGA NARASIMHA REDDY,1989,ANDHRA PRADESH,ONGOLE,TDP,43.75
229,BATHINA NARASIMA RAO,1989,ANDHRA PRADESH,ONGOLE,BJP,4.29
230,MUTHI REDDY VENKTA REDDY,1989,ANDHRA PRADESH,ONGOLE,IND,0.99
231,P.V. KRISHANAIAH,1989,ANDHRA PRADESH,ONGOLE,JP,0.3
232,TADI ANTHONI,1989,ANDHRA PRADESH,ONGOLE,IND,0.27
233,IRANGABOINA SRINIVASARAO,1989,ANDHRA PRADESH,ONGOLE,IND,0.25
234,TALLURI SURESH BABU,1989,ANDHRA PRADESH,ONGOLE,IND,0.19
235,PAMMI VENKATESWARLU,1989,ANDHRA PRADESH,ONGOLE,IND,0.09
236,POTHURI PANDURANGAIAH,1989,ANDHRA PRADESH,ONGOLE,IND,0.08
237,VAKA VENKATESWAR REDDY,1989,ANDHRA PRADESH,ONGOLE,IND,0.06
238,PAMMI CHAKRA REDDY,1989,ANDHRA PRADESH,ONGOLE,IND,0.05
239,POLLA VENKATARATNAM,1989,ANDHRA PRADESH,ONGOLE,IND,0.02
240,KUDUMULA PADMASRE (W),1989,ANDHRA PRADESH,NELLORE (SC),INC,45.68
241,M. NAGABHUSHANAMMA (W),1989,ANDHRA PRADESH,NELLORE (SC),TDP,38.05
242,GADDAM LAXMI NARAYANA,1989,ANDHRA PRADESH,NELLORE (SC),BJP,14.51
243,KOTHAPALLI RAMESH BABU,1989,ANDHRA PRADESH,NELLORE (SC),JP,0.48
244,JANAKI PRASAD,1989,ANDHRA PRADESH,NELLORE (SC),BSP,0.46
245,MARUTHATI MALAKONDAIAH,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.26
246,DASARI YALLAMANDA,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.14
247,KAMALA MALAKONDAIAH,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.11
248,SWARNA NARAIAH,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.09
249,TALAKAYALA KOTESWARA RAO,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.09
250,CHERUKU MUSALAYYA,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.05
251,ATYALA ABRAHAM,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.05
252,SWARNA RAI KUMAR,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.04
253,CHINTA MOHAN,1989,ANDHRA PRADESH,TIRUPATHI (SC),INC,61.98
254,P. SUBBAIAH,1989,ANDHRA PRADESH,TIRUPATHI (SC),TDP,32.51
255,P. JAYAMMA (W),1989,ANDHRA PRADESH,TIRUPATHI (SC),BJP,3.41
256,KADIRIMANGALAM NAGAIAH,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.52
257,PUTHALAPATTU ANJAIAH,1989,ANDHRA PRADESH,TIRUPATHI (SC),BSP,0.41
258,P. CHENGALAVARAYAN,1989,ANDHRA PRADESH,TIRUPATHI (SC),JP,0.37
259,NOONKATHATI MUNEPPA,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.32
260,M. GATTAPPA,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.14
261,KALICHETTY VEMAIAH,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.14
262,P.T. STALEN,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.06
263,JAYARAMAIAH,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.05
264,RAJAIAH ALIAS NANNURU RAVINDRA NATH,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.05
265,NAGADEV,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.03
266,M. GNANENDRA REDDY,1989,ANDHRA PRADESH,CHITTOOR,INC,56.02
267,GURRAM V. SREENATHA REDDY,1989,ANDHRA PRADESH,CHITTOOR,TDP,39.53
268,N.P. JHANSI LAKSHMI (W),1989,ANDHRA PRADESH,CHITTOOR,BJP,3.13
269,N. RAMACHANDRA YADAV,1989,ANDHRA PRADESH,CHITTOOR,BSP,0.25
270,O.M. RANADASS,1989,ANDHRA PRADESH,CHITTOOR,IND,0.21
271,A. BALAJI,1989,ANDHRA PRADESH,CHITTOOR,IND,0.2
272,G. USHA KIRAN KUMAR,1989,ANDHRA PRADESH,CHITTOOR,JP,0.12
273,G. MUNIRATHNAM SETTY,1989,ANDHRA PRADESH,CHITTOOR,IND,0.12
274,G.B. NAIDU,1989,ANDHRA PRADESH,CHITTOOR,IND,0.1
275,T. MADHAVA REDDY,1989,ANDHRA PRADESH,CHITTOOR,IND,0.08
276,THUDUM SARDAR POTHANNA,1989,ANDHRA PRADESH,CHITTOOR,IND,0.07
277,KAMPALLE SIVARAMAIAH,1989,ANDHRA PRADESH,CHITTOOR,LAB(B),0.07
278,P. NARENDRA REDDY,1989,ANDHRA PRADESH,CHITTOOR,IND,0.03
