%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
47.7,VISWANATHAM KANITHI,SRIKAKULAM,1,INC,M,ANDHRA PRADESH,288263,632341,604275,861650,73.39
39.41,APPAYYADORA HANUMANTHU,SRIKAKULAM,2,TDP,M,ANDHRA PRADESH,238149,632341,604275,861650,73.39
10.81,BAMMIDI NARAYANASWAMY,SRIKAKULAM,3,IND,M,ANDHRA PRADESH,65317,632341,604275,861650,73.39
2.08,SURYANARAYANA,SRIKAKULAM,4,IND,M,ANDHRA PRADESH,12546,632341,604275,861650,73.39
51.55,VIJAYARAMARAJU SATRUCHARLA,PARVATHIPURAM (ST),1,INC,M,ANDHRA PRADESH,284228,589546,551416,809362,72.84
43.81,KISHORECHANDRA SURYANARAYANA DEO VYRICHERLA,PARVATHIPURAM (ST),2,ICS(SCS),M,ANDHRA PRADESH,241587,589546,551416,809362,72.84
3.11,NIMMAKA AYODHYA,PARVATHIPURAM (ST),3,IND,M,ANDHRA PRADESH,17122,589546,551416,809362,72.84
1.54,ARIKA GUMPASWAMY,PARVATHIPURAM (ST),4,IND,M,ANDHRA PRADESH,8479,589546,551416,809362,72.84
53.27,KOMBURI RAM MOHAN RAO,BOBBILI,1,TDP,M,ANDHRA PRADESH,325809,642044,611674,860717,74.59
46.73,ANAND GAJAPATHI RAJU POOSAPATI,BOBBILI,2,INC,M,ANDHRA PRADESH,285865,642044,611674,860717,74.59
50.31,UMA GAJAPATHI RAJU POOSAPATI,VISAKHAPATNAM,1,INC,F,ANDHRA PRADESH,352326,733318,700337,1073318,68.32
46.63,M.V.V.S. MURTHY,VISAKHAPATNAM,2,TDP,M,ANDHRA PRADESH,326593,733318,700337,1073318,68.32
1.05,GARIKINAANANDA KUMAR,VISAKHAPATNAM,3,BSP,M,ANDHRA PRADESH,7370,733318,700337,1073318,68.32
1.05,GOLLAKOTI VISHNUMURTHY,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,7364,733318,700337,1073318,68.32
0.61,MAMIDI SOMUNAIDU,VISAKHAPATNAM,5,IND,M,ANDHRA PRADESH,4240,733318,700337,1073318,68.32
0.35,N.R.K. RAJU,VISAKHAPATNAM,6,IND,M,ANDHRA PRADESH,2444,733318,700337,1073318,68.32
48.58,KARIYEDDULA KAMALA KUMARI,BHADRACHALAM (ST),1,INC,F,ANDHRA PRADESH,270648,595519,557113,941288,63.27
44.28,RAMAITH SODE,BHADRACHALAM (ST),2,CPI,M,ANDHRA PRADESH,246662,595519,557113,941288,63.27
4.79,K.P. SANTI RAJU,BHADRACHALAM (ST),3,IND,M,ANDHRA PRADESH,26670,595519,557113,941288,63.27
2.36,BADAVATH NEHRU BAPUJI,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,13133,595519,557113,941288,63.27
47.21,KONATHALA RAMAKRISHNA,ANAKAPALLI,1,INC,M,ANDHRA PRADESH,299109,659253,633597,893262,73.8
47.21,APPALANARASIMHAM,ANAKAPALLI,2,TDP,M,ANDHRA PRADESH,299100,659253,633597,893262,73.8
5.59,VEESAM SANYASINAIDU,ANAKAPALLI,3,IND,M,ANDHRA PRADESH,35388,659253,633597,893262,73.8
54.45,MALLIPUDI MANGAPATHI PALLAMRAJU,KAKINADA,1,INC,M,ANDHRA PRADESH,383681,724677,704654,979213,74.01
42.67,THOTA GOPALA KRISHNA,KAKINADA,2,TDP,M,ANDHRA PRADESH,300698,724677,704654,979213,74.01
1.67,THOTA RAKANJA NEYULU,KAKINADA,3,IND,M,ANDHRA PRADESH,11739,724677,704654,979213,74.01
1.21,SUNDARAIAH,KAKINADA,4,BSP,M,ANDHRA PRADESH,8536,724677,704654,979213,74.01
53.63,JAMUNA,RAJAHMUNDRY,1,INC,F,ANDHRA PRADESH,386314,737739,720327,972851,75.83
45.53,CHUNDRU SRIHARI,RAJAHMUNDRY,2,TDP,M,ANDHRA PRADESH,327992,737739,720327,972851,75.83
0.34,ALLA ARUN KUMAR M JNP,RAJAHMUNDRY,3,(JP),NA,ANDHRA PRADESH,2459,737739,720327,972851,75.83
0.27,NITHALA JAGGA RAO,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,1910,737739,720327,972851,75.83
0.23,BOOKA SRIRAMAKRISHNA,RAJAHMUNDRY,5,BSP,M,ANDHRA PRADESH,1652,737739,720327,972851,75.83
53.68,KUSUMA KRISHNA MURTY,AMALAPURAM (SC),1,INC,M,ANDHRA PRADESH,339419,648504,632287,835700,77.6
45.02,AITHABATHULA JOGESWARA VENKATA BUTCHI,AMALAPURAM (SC),2,TDP,M,ANDHRA PRADESH,284638,648504,632287,835700,77.6
0.73,GEDDAM RANGA NADHA SWAMI,AMALAPURAM (SC),3,BSP,M,ANDHRA PRADESH,4598,648504,632287,835700,77.6
0.44,BADUGU SURYA NARAYANA MURTY,AMALAPURAM (SC),4,IND,M,ANDHRA PRADESH,2813,648504,632287,835700,77.6
0.13,BONTHU RAMESH BABU,AMALAPURAM (SC),5,IND,M,ANDHRA PRADESH,819,648504,632287,835700,77.6
50.31,BHUPATIRAJU VIJAYA KUMAR RAJU,NARASAPUR,1,TDP,M,ANDHRA PRADESH,334215,682390,664308,931902,73.23
48.23,NACHU SESHAGIRI RAO,NARASAPUR,2,INC,M,ANDHRA PRADESH,320413,682390,664308,931902,73.23
0.5,GUDUSARVESWARA RAO,NARASAPUR,3,IND,M,ANDHRA PRADESH,3306,682390,664308,931902,73.23
0.46,SAIKILE DAVID PRABHAKAR,NARASAPUR,4,IND,M,ANDHRA PRADESH,3028,682390,664308,931902,73.23
0.31,GADIRAJU VENKATA SURYANARAYANA RAJU M JNP,NARASAPUR,5,(JP),NA,ANDHRA PRADESH,2087,682390,664308,931902,73.23
0.19,VEGESANA BANGARRAJU,NARASAPUR,6,IND,M,ANDHRA PRADESH,1259,682390,664308,931902,73.23
54.36,KRISHANA,ELURU,1,INC,M,ANDHRA PRADESH,410708,773567,755515,981369,78.83
44.91,BOLLA BULLI RAMALAH,ELURU,2,TDP,M,ANDHRA PRADESH,339301,773567,755515,981369,78.83
0.29,GUDURI SARVESWARAO,ELURU,3,IND,M,ANDHRA PRADESH,2185,773567,755515,981369,78.83
0.26,SAGIRAJU SURYA NARAYANA RAJU,ELURU,4,IND,M,ANDHRA PRADESH,1954,773567,755515,981369,78.83
0.18,GURUVINDAPALLI,ELURU,5,IND,M,ANDHRA PRADESH,1367,773567,755515,981369,78.83
52.06,SAMBASIVARAO KAVURI,MACHILIPATNAM,1,INC,M,ANDHRA PRADESH,354533,700112,680994,908538,77.06
45.67,BOPPANA GANGADHARA CHAUDRY,MACHILIPATNAM,2,TDP,M,ANDHRA PRADESH,311044,700112,680994,908538,77.06
1.16,GANGAIAH CHALAMALA SETTY,MACHILIPATNAM,3,IND,M,ANDHRA PRADESH,7887,700112,680994,908538,77.06
0.3,YANDURI SUBREHMANYESWARA RAO,MACHILIPATNAM,4,IND,M,ANDHRA PRADESH,2034,700112,680994,908538,77.06
0.24,DOKKU RAJUSEKHARAM,MACHILIPATNAM,5,BSP,M,ANDHRA PRADESH,1664,700112,680994,908538,77.06
0.2,MAJJI JANARDHANA RAO,MACHILIPATNAM,6,IND,M,ANDHRA PRADESH,1346,700112,680994,908538,77.06
0.19,NARRA GOPICHANDU,MACHILIPATNAM,7,IND,M,ANDHRA PRADESH,1325,700112,680994,908538,77.06
0.11,TADIKONDA VENKATA NANCHARAIAH,MACHILIPATNAM,8,IND,M,ANDHRA PRADESH,777,700112,680994,908538,77.06
0.06,SUBRAHMANYESWAR RAO ATLURI,MACHILIPATNAM,9,IND,M,ANDHRA PRADESH,384,700112,680994,908538,77.06
52.69,CHENNUPATI VIDYA,VIJAYAWADA,1,INC,F,ANDHRA PRADESH,423867,822391,804438,1106132,74.35
45.46,VADDE SOBHANADREESWARRARAO,VIJAYAWADA,2,TDP,M,ANDHRA PRADESH,365663,822391,804438,1106132,74.35
0.6,D.V.DASS,VIJAYAWADA,3,BSP,M,ANDHRA PRADESH,4812,822391,804438,1106132,74.35
0.42,CHIGURUPATI NAGESWARARAO,VIJAYAWADA,4,IND,M,ANDHRA PRADESH,3418,822391,804438,1106132,74.35
0.18,LAVANAM,VIJAYAWADA,5,IND,M,ANDHRA PRADESH,1452,822391,804438,1106132,74.35
0.18,PUPPALA SIVASANKARARAI,VIJAYAWADA,6,IND,M,ANDHRA PRADESH,1415,822391,804438,1106132,74.35
0.14,BOPPURI MOJES,VIJAYAWADA,7,IND,M,ANDHRA PRADESH,1122,822391,804438,1106132,74.35
0.14,NANNAPANENEI BASKARARAO,VIJAYAWADA,8,VJS,M,ANDHRA PRADESH,1093,822391,804438,1106132,74.35
0.12,MOHMMAD FEROJ TAJ,VIJAYAWADA,9,IND,M,ANDHRA PRADESH,933,822391,804438,1106132,74.35
0.08,BUDDIRAJU VENKATESWARARAO,VIJAYAWADA,10,IND,M,ANDHRA PRADESH,663,822391,804438,1106132,74.35
54.6,BASAVAPANNAYYA SINGAM,TENALI,1,INC,M,ANDHRA PRADESH,345150,646331,632195,890858,72.55
44.44,UMMAREDDY VENKATESWARLU,TENALI,2,TDP,M,ANDHRA PRADESH,280962,646331,632195,890858,72.55
0.4,NAAG ROOP,TENALI,3,RPK,M,ANDHRA PRADESH,2521,646331,632195,890858,72.55
0.29,VAMANADASU VEERNALA,TENALI,4,IND,M,ANDHRA PRADESH,1860,646331,632195,890858,72.55
