%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.27,SRINIVAS KAMARAJUGADDA,TENALI,5,IND,M,ANDHRA PRADESH,1702,646331,632195,890858,72.55
53.95,N.G.RANGA,GUNTUR,1,INC,M,ANDHRA PRADESH,404558,765766,749809,1114045,68.74
45.28,KOTESWARARAO M.S.S,GUNTUR,2,TDP,M,ANDHRA PRADESH,339545,765766,749809,1114045,68.74
0.25,VUYYURU BRAMAREDDY M JNP,GUNTUR,3,(JP),NA,ANDHRA PRADESH,1872,765766,749809,1114045,68.74
0.22,VUTUKURU VENKAMARAJU,GUNTUR,4,IND,M,ANDHRA PRADESH,1682,765766,749809,1114045,68.74
0.16,KANNA SURYANARAYANA,GUNTUR,5,IND,M,ANDHRA PRADESH,1179,765766,749809,1114045,68.74
0.13,KOLLI VENKATAREDDY,GUNTUR,6,IND,M,ANDHRA PRADESH,973,765766,749809,1114045,68.74
52.15,SALAGALA BENJAMIN,BAPATLA,1,INC,M,ANDHRA PRADESH,364008,724960,697980,999676,72.52
45.9,MUPPAVARAPU VENKAIAH NAIDU,BAPATLA,2,BJP,M,ANDHRA PRADESH,320388,724960,697980,999676,72.52
1.1,THIRUVEEDHULA SANKARA RAO,BAPATLA,3,IND,M,ANDHRA PRADESH,7689,724960,697980,999676,72.52
0.48,CHALLAGALI KOTAMRAJU,BAPATLA,4,IND,M,ANDHRA PRADESH,3324,724960,697980,999676,72.52
0.37,VILINDER KUMAR VARADHANAPU,BAPATLA,5,IND,M,ANDHRA PRADESH,2571,724960,697980,999676,72.52
53.26,KASU VENKATA KRISHNA REDDY,NARASARAOPET,1,INC,M,ANDHRA PRADESH,402289,779017,755362,1138866,68.4
44.56,PIDATALA RENGA REDDY,NARASARAOPET,2,TDP,M,ANDHRA PRADESH,336583,779017,755362,1138866,68.4
0.5,JANAKIRAJU UPPUTHOLLA,NARASARAOPET,3,BSP,M,ANDHRA PRADESH,3810,779017,755362,1138866,68.4
0.45,GANGISETTI RAMAKRISHNA,NARASARAOPET,4,IND,M,ANDHRA PRADESH,3362,779017,755362,1138866,68.4
0.28,SEERA SUBBARAUDUGUPTA,NARASARAOPET,5,IND,M,ANDHRA PRADESH,2126,779017,755362,1138866,68.4
0.28,BRAHMANANDAM POPURI,NARASARAOPET,6,IND,M,ANDHRA PRADESH,2108,779017,755362,1138866,68.4
0.25,NAGIREDDY JULAKANTI,NARASARAOPET,7,IND,M,ANDHRA PRADESH,1872,779017,755362,1138866,68.4
0.17,JANAPATI TIRUPATIRAO,NARASARAOPET,8,IND,M,ANDHRA PRADESH,1278,779017,755362,1138866,68.4
0.14,ANUMOLU NARAYANARAO,NARASARAOPET,9,IND,M,ANDHRA PRADESH,1087,779017,755362,1138866,68.4
0.11,DATTATRYA K KANNAIAH,NARASARAOPET,10,IND,M,ANDHRA PRADESH,847,779017,755362,1138866,68.4
56.07,RAJAMOHANA REDDY MEKAPATI,ONGOLE,1,INC,M,ANDHRA PRADESH,396282,728716,706811,1107153,65.82
42.29,NARAYANASWAMY KATURI,ONGOLE,2,TDP,M,ANDHRA PRADESH,298912,728716,706811,1107153,65.82
0.57,BAPATLA SOMIAH,ONGOLE,3,IND,M,ANDHRA PRADESH,4002,728716,706811,1107153,65.82
0.39,R. S. RAO,ONGOLE,4,IND,M,ANDHRA PRADESH,2750,728716,706811,1107153,65.82
0.37,SREENIVASA RAO BHARATHULA,ONGOLE,5,IND,M,ANDHRA PRADESH,2581,728716,706811,1107153,65.82
0.2,TADI ANTHONI,ONGOLE,6,IND,M,ANDHRA PRADESH,1401,728716,706811,1107153,65.82
0.12,ISMAIL MD.,ONGOLE,7,IND,M,ANDHRA PRADESH,883,728716,706811,1107153,65.82
52.83,PUTCHALAPALLI PENCHALAIAH,NELLORE (SC),1,INC,M,ANDHRA PRADESH,377602,743196,714775,1064416,69.82
42.78,M.NAGABHUSHANAMMA,NELLORE (SC),2,TDP,F,ANDHRA PRADESH,305763,743196,714775,1064416,69.82
2.44,JONNALAGADDA CHINNAIAH,NELLORE (SC),3,IND,M,ANDHRA PRADESH,17451,743196,714775,1064416,69.82
0.6,PEDDABBI DONTI,NELLORE (SC),4,BSP,M,ANDHRA PRADESH,4256,743196,714775,1064416,69.82
0.38,TALAKAYALA KOTESWARA RAO,NELLORE (SC),5,IND,M,ANDHRA PRADESH,2724,743196,714775,1064416,69.82
0.32,R.S.RAO,NELLORE (SC),6,IND,M,ANDHRA PRADESH,2314,743196,714775,1064416,69.82
0.29,P.HAZARATHAIAH,NELLORE (SC),7,IND,M,ANDHRA PRADESH,2084,743196,714775,1064416,69.82
0.28,A.G.CHATTARJI,NELLORE (SC),8,IND,M,ANDHRA PRADESH,1969,743196,714775,1064416,69.82
0.09,ARCOT RATNAM,NELLORE (SC),9,IND,M,ANDHRA PRADESH,612,743196,714775,1064416,69.82
54.36,CHINTA MOHAN,TIRUPATHI (SC),1,INC,M,ANDHRA PRADESH,406057,770785,746951,1077859,71.51
44.66,M.MURAGAIAH,TIRUPATHI (SC),2,TDP,M,ANDHRA PRADESH,333557,770785,746951,1077859,71.51
0.32,P.GURAPPA,TIRUPATHI (SC),3,BSP,M,ANDHRA PRADESH,2398,770785,746951,1077859,71.51
0.23,NAGADEV,TIRUPATHI (SC),4,IND,M,ANDHRA PRADESH,1744,770785,746951,1077859,71.51
0.22,G.VENU,TIRUPATHI (SC),5,IND,M,ANDHRA PRADESH,1627,770785,746951,1077859,71.51
0.21,K.S.MANIRATNAM,TIRUPATHI (SC),6,IND,M,ANDHRA PRADESH,1568,770785,746951,1077859,71.51
54.83,GNANENDRA REDDY,CHITTOOR,1,INC,M,ANDHRA PRADESH,390786,741202,712718,1002523,73.93
43.25,N.RANGASWAMY,CHITTOOR,2,TDP,M,ANDHRA PRADESH,308278,741202,712718,1002523,73.93
0.61,S.A.ISMAIL,CHITTOOR,3,BSP,M,ANDHRA PRADESH,4383,741202,712718,1002523,73.93
0.37,G.B.NAIDU,CHITTOOR,4,IND,M,ANDHRA PRADESH,2603,741202,712718,1002523,73.93
0.34,N.RAJAPPA,CHITTOOR,5,IND,M,ANDHRA PRADESH,2449,741202,712718,1002523,73.93
0.23,P.NARENDRA,CHITTOOR,6,IND,M,ANDHRA PRADESH,1661,741202,712718,1002523,73.93
0.21,NAGADEV,CHITTOOR,7,IND,M,ANDHRA PRADESH,1467,741202,712718,1002523,73.93
0.15,KAMPALLE SIVARAMALAH,CHITTOOR,8,IND,M,ANDHRA PRADESH,1091,741202,712718,1002523,73.93
51.93,ANNAIAHGARI SAI PRATHAP,RAJAMPET,1,INC,M,ANDHRA PRADESH,340796,678195,656285,945601,71.72
46.07,RAMACHANDRAIAH C.,RAJAMPET,2,TDP,M,ANDHRA PRADESH,302373,678195,656285,945601,71.72
0.96,ASADI VENKATADRI,RAJAMPET,3,IND,M,ANDHRA PRADESH,6269,678195,656285,945601,71.72
0.65,NAGARAJU KONDURU M JNP,RAJAMPET,4,(JP),NA,ANDHRA PRADESH,4248,678195,656285,945601,71.72
0.26,R.K. RAJARATHNAM,RAJAMPET,5,IND,M,ANDHRA PRADESH,1708,678195,656285,945601,71.72
0.14,SHAIK ABDUL SALAAM,RAJAMPET,6,IND,M,ANDHRA PRADESH,891,678195,656285,945601,71.72
60.16,Y.S.RAJASEKHAR REDDY,CUDDAPAH,1,INC,M,ANDHRA PRADESH,480524,819354,798740,1135322,72.17
39.28,M.V.RAMANA REDDY,CUDDAPAH,2,TDP,M,ANDHRA PRADESH,313772,819354,798740,1135322,72.17
0.28,CHIMIKALA RAMA KRISHNA REDDY,CUDDAPAH,3,IND,M,ANDHRA PRADESH,2263,819354,798740,1135322,72.17
0.27,LOMADA VASUDEVA REDDY,CUDDAPAH,4,IND,M,ANDHRA PRADESH,2181,819354,798740,1135322,72.17
50.17,S.GANGADHARA,HINDUPUR,1,INC,M,ANDHRA PRADESH,327512,681480,652856,984977,69.19
49.83,K.RAMESCHANDRA REDDY,HINDUPUR,2,TDP,M,ANDHRA PRADESH,325344,681480,652856,984977,69.19
53.85,ANANTHA VENKATA REDDY,ANANTAPUR,1,INC,M,ANDHRA PRADESH,349685,676218,649375,1013902,66.69
44.69,G. RAMANNA CHOWDARY,ANANTAPUR,2,TDP,M,ANDHRA PRADESH,290203,676218,649375,1013902,66.69
1.0,P.J. DHANARAJ,ANANTAPUR,3,BSP,M,ANDHRA PRADESH,6484,676218,649375,1013902,66.69
0.46,B. RAMRARAO,ANANTAPUR,4,IND,M,ANDHRA PRADESH,3003,676218,649375,1013902,66.69
57.89,KOTLA VIJAY BHASKARA REDDY,KURNOOL,1,INC,M,ANDHRA PRADESH,363955,655434,628754,968645,67.67
40.32,ERASU AYYAPU REDDY,KURNOOL,2,TDP,M,ANDHRA PRADESH,253537,655434,628754,968645,67.67
0.88,M.S. SAJID,KURNOOL,3,IND,M,ANDHRA PRADESH,5539,655434,628754,968645,67.67
0.75,Y. GURUDASU,KURNOOL,4,IND,M,ANDHRA PRADESH,4693,655434,628754,968645,67.67
0.16,T. SUDHAKAR,KURNOOL,5,IND,M,ANDHRA PRADESH,1030,655434,628754,968645,67.67
53.63,BOJJA VENKATA REDDY,NANDYAL,1,INC,M,ANDHRA PRADESH,370097,711179,690103,1001172,71.03
45.48,MADDURU SUBBA REDDY,NANDYAL,2,TDP,M,ANDHRA PRADESH,313835,711179,690103,1001172,71.03
0.48,MAGHAM GANGADHARAM SETTY,NANDYAL,3,IND,M,ANDHRA PRADESH,3321,711179,690103,1001172,71.03
0.41,SEELLA SANJEEVAREDDY M JNP,NANDYAL,4,(JP),NA,ANDHRA PRADESH,2850,711179,690103,1001172,71.03
53.95,ANATHA RAMULU MULLU,NAGARKURNOOL (SC),1,INC,M,ANDHRA PRADESH,363026,705416,672951,1000322,70.52
43.37,V.TULASSI RAM,NAGARKURNOOL (SC),2,TDP,M,ANDHRA PRADESH,291852,705416,672951,1000322,70.52
2.01,CHANDRAIAH,NAGARKURNOOL (SC),3,BSP,M,ANDHRA PRADESH,13522,705416,672951,1000322,70.52
0.68,PEDDA NAGAIAH,NAGARKURNOOL (SC),4,IND,M,ANDHRA PRADESH,4551,705416,672951,1000322,70.52
51.99,MALLIKARJUN,MAHABUBNAGAR,1,INC,M,ANDHRA PRADESH,335762,689986,645770,1038379,66.45
41.19,JAYAPAL REDDY,MAHABUBNAGAR,2,JD,M,ANDHRA PRADESH,265984,689986,645770,1038379,66.45
2.23,ALIUDDIN AHMED,MAHABUBNAGAR,3,MIM,M,ANDHRA PRADESH,14376,689986,645770,1038379,66.45
1.65,GULAM MOHD. SAMDANI,MAHABUBNAGAR,4,IND,M,ANDHRA PRADESH,10637,689986,645770,1038379,66.45
1.36,CHAKRAPANI,MAHABUBNAGAR,5,BSP,M,ANDHRA PRADESH,8754,689986,645770,1038379,66.45
0.99,MALLU MASI REDDY M JNP,MAHABUBNAGAR,6,(JP),NA,ANDHRA PRADESH,6408,689986,645770,1038379,66.45
0.45,SADASIVA REDDY,MAHABUBNAGAR,7,IND,M,ANDHRA PRADESH,2904,689986,645770,1038379,66.45
0.15,ANJANEYULU,MAHABUBNAGAR,8,IND,M,ANDHRA PRADESH,945,689986,645770,1038379,66.45
45.91,SULTAN SALAHUDDIN OWAISI,HYDERABAD,1,MIM,M,ANDHRA PRADESH,403625,911396,879187,1278250,71.3
30.77,TEEGALA KRISHANA REDDY,HYDERABAD,2,TDP,M,ANDHRA PRADESH,270547,911396,879187,1278250,71.3
21.63,LAKSHMAN REDDY,HYDERABAD,3,INC,M,ANDHRA PRADESH,190132,911396,879187,1278250,71.3
0.44,MIR SABIR ALI,HYDERABAD,4,IND,M,ANDHRA PRADESH,3837,911396,879187,1278250,71.3
0.23,R.CHANDRA KANT,HYDERABAD,5,IND,M,ANDHRA PRADESH,2011,911396,879187,1278250,71.3
0.21,SEEHA CHARY K.,HYDERABAD,6,IND,M,ANDHRA PRADESH,1832,911396,879187,1278250,71.3
0.17,JAGDISH PARSAD MITTAL,HYDERABAD,7,IND,M,ANDHRA PRADESH,1522,911396,879187,1278250,71.3
0.17,V.R.V.SREERAMA RAO,HYDERABAD,8,BSP,M,ANDHRA PRADESH,1520,911396,879187,1278250,71.3
0.16,AVULA VINOD,HYDERABAD,9,IND,M,ANDHRA PRADESH,1426,911396,879187,1278250,71.3
0.09,S.RAMULU,HYDERABAD,10,LKP,M,ANDHRA PRADESH,789,911396,879187,1278250,71.3
0.09,MOHD. AFZAL RASHEED,HYDERABAD,11,IND,M,ANDHRA PRADESH,754,911396,879187,1278250,71.3
0.07,ANANDAM,HYDERABAD,12,IND,M,ANDHRA PRADESH,640,911396,879187,1278250,71.3
0.06,ACHARAYA DAYASHANKER DWIVEDI,HYDERABAD,13,IND,M,ANDHRA PRADESH,552,911396,879187,1278250,71.3
53.88,T.MANEMMA,SECUNDERABAD,1,INC,F,ANDHRA PRADESH,348491,668988,646751,1154622,57.94
31.06,P.BABUL REDDY,SECUNDERABAD,2,JD,M,ANDHRA PRADESH,200890,668988,646751,1154622,57.94
11.86,MOHD. NAZEERUDDIN,SECUNDERABAD,3,MIM,M,ANDHRA PRADESH,76729,668988,646751,1154622,57.94
0.44,KIHHAN RAJ,SECUNDERABAD,4,SOP(L),M,ANDHRA PRADESH,2831,668988,646751,1154622,57.94
0.44,MOHAMMED AFZAL KHAN,SECUNDERABAD,5,IND,M,ANDHRA PRADESH,2820,668988,646751,1154622,57.94
0.38,SESHA CHARY K,SECUNDERABAD,6,IND,M,ANDHRA PRADESH,2470,668988,646751,1154622,57.94
0.25,NIVARATHI,SECUNDERABAD,7,BSP,M,ANDHRA PRADESH,1647,668988,646751,1154622,57.94
0.23,M.VIKRAM KUMAR,SECUNDERABAD,8,MCPI,M,ANDHRA PRADESH,1475,668988,646751,1154622,57.94
0.22,M.RANGA REDDY,SECUNDERABAD,9,IND,M,ANDHRA PRADESH,1434,668988,646751,1154622,57.94
0.22,TARA KISHEN,SECUNDERABAD,10,IND,M,ANDHRA PRADESH,1402,668988,646751,1154622,57.94
0.16,E.P.A. RASHEED,SECUNDERABAD,11,IND,M,ANDHRA PRADESH,1062,668988,646751,1154622,57.94
0.12,ACHARYA DAYA SHANKAR DWIVEDI,SECUNDERABAD,12,IND,M,ANDHRA PRADESH,762,668988,646751,1154622,57.94
0.1,D.JAGADISWAR,SECUNDERABAD,13,IND,M,ANDHRA PRADESH,658,668988,646751,1154622,57.94
0.1,R.SARDAR PATEL,SECUNDERABAD,14,IND,M,ANDHRA PRADESH,615,668988,646751,1154622,57.94
0.08,SIKILE DAVID PRABHAKER,SECUNDERABAD,15,IND,M,ANDHRA PRADESH,506,668988,646751,1154622,57.94
0.07,M.MALLAIKARJUNA,SECUNDERABAD,16,IND,M,ANDHRA PRADESH,459,668988,646751,1154622,57.94
0.07,B.YADIAH,SECUNDERABAD,17,IND,M,ANDHRA PRADESH,449,668988,646751,1154622,57.94
0.06,B.RAGHUNATH,SECUNDERABAD,18,IND,M,ANDHRA PRADESH,414,668988,646751,1154622,57.94
0.06,AMANULLAH KHAN,SECUNDERABAD,19,IND,M,ANDHRA PRADESH,412,668988,646751,1154622,57.94
0.06,SURYA GUPTA S.,SECUNDERABAD,20,IND,M,ANDHRA PRADESH,392,668988,646751,1154622,57.94
0.05,M.AZHARUDDIN,SECUNDERABAD,21,IND,M,ANDHRA PRADESH,343,668988,646751,1154622,57.94
0.05,RAVEENDRA,SECUNDERABAD,22,DLP,M,ANDHRA PRADESH,298,668988,646751,1154622,57.94
0.03,I.S.SWAMY DEVANAND,SECUNDERABAD,23,IND,M,ANDHRA PRADESH,192,668988,646751,1154622,57.94
52.45,YELLAIAH NANDI,SIDDIPET (SC),1,INC,M,ANDHRA PRADESH,378172,761363,720957,1144328,66.53
40.41,G.VIJAYA RAMA RAO,SIDDIPET (SC),2,TDP,M,ANDHRA PRADESH,291335,761363,720957,1144328,66.53
2.71,MUTTIGALLA SAMUEL,SIDDIPET (SC),3,IND,M,ANDHRA PRADESH,19540,761363,720957,1144328,66.53
2.3,T.NARSIMHA,SIDDIPET (SC),4,IND,M,ANDHRA PRADESH,16596,761363,720957,1144328,66.53
1.19,D.RAJIRI,SIDDIPET (SC),5,IND,M,ANDHRA PRADESH,8560,761363,720957,1144328,66.53
0.94,M.R.KRISHNA,SIDDIPET (SC),6,IND,M,ANDHRA PRADESH,6754,761363,720957,1144328,66.53
54.42,BAGAREDDY M.,MEDAK,1,INC,M,ANDHRA PRADESH,383586,736786,704875,1057204,69.69
40.79,P.MANIK REDDY,MEDAK,2,TDP,M,ANDHRA PRADESH,287490,736786,704875,1057204,69.69
1.83,NAIKWADI VITTALAIAH,MEDAK,3,IND,M,ANDHRA PRADESH,12904,736786,704875,1057204,69.69
1.11,ERROLLA RATHNAIAH,MEDAK,4,IND,M,ANDHRA PRADESH,7797,736786,704875,1057204,69.69
0.71,B.VENKETESHWARA RAO,MEDAK,5,IND,M,ANDHRA PRADESH,4976,736786,704875,1057204,69.69
0.69,K.RAMA GOUD M JNP,MEDAK,6,(JP),NA,ANDHRA PRADESH,4838,736786,704875,1057204,69.69
0.26,P.LAXMAIAH,MEDAK,7,IND,M,ANDHRA PRADESH,1845,736786,704875,1057204,69.69
0.2,B.N.SHARMA,MEDAK,8,IND,M,ANDHRA PRADESH,1439,736786,704875,1057204,69.69
45.42,TADURI BALA GOUD,NIZAMABAD,1,INC,M,ANDHRA PRADESH,294340,674941,648088,963180,70.07
41.7,P.SRINIVAS REDDY,NIZAMABAD,2,TDP,M,ANDHRA PRADESH,270241,674941,648088,963180,70.07
10.43,AHSANULLA KHAN,NIZAMABAD,3,MIM,M,ANDHRA PRADESH,67591,674941,648088,963180,70.07
1.09,BOJJA TARAKAM,NIZAMABAD,4,BSP,M,ANDHRA PRADESH,7061,674941,648088,963180,70.07
0.76,NADEEM PATEL,NIZAMABAD,5,IND,M,ANDHRA PRADESH,4896,674941,648088,963180,70.07
0.61,GANTA BABU,NIZAMABAD,6,IND,M,ANDHRA PRADESH,3959,674941,648088,963180,70.07
