%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.53,VANI RAMANA RAO P. (W),BHADRACHALAM (ST),9,JP,F,ANDHRA PRADESH,2604,519063,495470,945933,54.87
44.67,KONATHALA RAMAKRISHNA,ANAKAPALLI,1,INC,M,ANDHRA PRADESH,261311,603706,584988,894732,67.47
42.76,APPALANARASIMHAM P.,ANAKAPALLI,2,TDP,M,ANDHRA PRADESH,250153,603706,584988,894732,67.47
7.82,SANYASINAIDU VEESAM,ANAKAPALLI,3,BJP,M,ANDHRA PRADESH,45731,603706,584988,894732,67.47
2.43,YELLAPPU SUBRAMANYAM,ANAKAPALLI,4,IND,M,ANDHRA PRADESH,14205,603706,584988,894732,67.47
0.93,APPARAO KIRLA,ANAKAPALLI,5,JP,M,ANDHRA PRADESH,5441,603706,584988,894732,67.47
0.76,POOSARLA TRIMURTHULU,ANAKAPALLI,6,IND,M,ANDHRA PRADESH,4428,603706,584988,894732,67.47
0.56,BADDI SURANARAYANA,ANAKAPALLI,7,IND,M,ANDHRA PRADESH,3287,603706,584988,894732,67.47
0.07,SURAYANARAYANA RAJU KUCHERLAPATHI,ANAKAPALLI,8,IND,M,ANDHRA PRADESH,432,603706,584988,894732,67.47
48.85,THOTA SUBBARAO,KAKINADA,1,TDP,M,ANDHRA PRADESH,287357,603429,588237,981754,61.46
42.85,MANGAPATI PALLAMRAJU MALLIPUDI,KAKINADA,2,INC,M,ANDHRA PRADESH,252040,603429,588237,981754,61.46
3.55,RAO VENKATA MAHEEPATI RAMA RATNA RAO,KAKINADA,3,BJP,M,ANDHRA PRADESH,20894,603429,588237,981754,61.46
1.24,THOTA RAMANJANEYULU,KAKINADA,4,IPF,M,ANDHRA PRADESH,7287,603429,588237,981754,61.46
1.15,CHOKKA TATARAO,KAKINADA,5,BSP,M,ANDHRA PRADESH,6776,603429,588237,981754,61.46
0.91,KOTHAM VENKATA SRINIVAS RAO (KOTI),KAKINADA,6,IND,M,ANDHRA PRADESH,5362,603429,588237,981754,61.46
0.77,CHINITAPALLI KANAKARAO,KAKINADA,7,JP,M,ANDHRA PRADESH,4526,603429,588237,981754,61.46
0.25,MADDUKURI SATYA SEVAK,KAKINADA,8,IND,M,ANDHRA PRADESH,1453,603429,588237,981754,61.46
0.18,GIDLA SIMHACHALAM,KAKINADA,9,IND,M,ANDHRA PRADESH,1046,603429,588237,981754,61.46
0.17,GURRAM KAMESWARAO,KAKINADA,10,IND,M,ANDHRA PRADESH,982,603429,588237,981754,61.46
0.09,VADLAMANI VENKATA RAMANA,KAKINADA,11,IND,M,ANDHRA PRADESH,514,603429,588237,981754,61.46
51.54,K.V.R. CHOWDARY,RAJAHMUNDRY,1,TDP,M,ANDHRA PRADESH,315556,627882,612264,973272,64.51
41.41,JAMUNA (W),RAJAHMUNDRY,2,INC,F,ANDHRA PRADESH,253547,627882,612264,973272,64.51
3.91,KANTIPUDI SARVARAYUDU,RAJAHMUNDRY,3,BJP,M,ANDHRA PRADESH,23909,627882,612264,973272,64.51
1.09,MOTHA VENKATARAO,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,6674,627882,612264,973272,64.51
0.8,GURUJAPU ATCHAIRAJU,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,4891,627882,612264,973272,64.51
0.42,VASAMSETTI SRIRAMARAO,RAJAHMUNDRY,6,BSP,M,ANDHRA PRADESH,2587,627882,612264,973272,64.51
0.23,KOKA RAMA KRISHNA RAO,RAJAHMUNDRY,7,JP,M,ANDHRA PRADESH,1422,627882,612264,973272,64.51
0.16,SATYAVATHI UDATHA (W),RAJAHMUNDRY,8,IND,F,ANDHRA PRADESH,962,627882,612264,973272,64.51
0.14,B.S. RAO,RAJAHMUNDRY,9,IND,M,ANDHRA PRADESH,872,627882,612264,973272,64.51
0.11,SRIRAMA KRISHNA (SRI RAM),RAJAHMUNDRY,10,IND,M,ANDHRA PRADESH,704,627882,612264,973272,64.51
0.08,S.S. RAO,RAJAHMUNDRY,11,IND,M,ANDHRA PRADESH,477,627882,612264,973272,64.51
0.07,SUNKARA VENKATA RAMANA MURTHY,RAJAHMUNDRY,12,IND,M,ANDHRA PRADESH,453,627882,612264,973272,64.51
0.03,RAJA SUBBARAO,RAJAHMUNDRY,13,IND,M,ANDHRA PRADESH,210,627882,612264,973272,64.51
53.19,BALAYOGI G.M.C.,AMALAPURAM (SC),1,TDP,M,ANDHRA PRADESH,273490,527366,514144,836319,63.06
36.18,KUSUNMA KRISHAN MURTHY,AMALAPURAM (SC),2,INC,M,ANDHRA PRADESH,186003,527366,514144,836319,63.06
5.54,JANGA RAMADASU,AMALAPURAM (SC),3,BJP,M,ANDHRA PRADESH,28468,527366,514144,836319,63.06
1.79,N.M. RUSHI,AMALAPURAM (SC),4,IND,M,ANDHRA PRADESH,9198,527366,514144,836319,63.06
1.77,NAKKA CHITTIBABU,AMALAPURAM (SC),5,IND,M,ANDHRA PRADESH,9109,527366,514144,836319,63.06
0.6,GEDDADI SIVASANKAR,AMALAPURAM (SC),6,BSP,M,ANDHRA PRADESH,3100,527366,514144,836319,63.06
0.35,CHUTTUGULLA VEERASWAMY,AMALAPURAM (SC),7,IND,M,ANDHRA PRADESH,1805,527366,514144,836319,63.06
0.2,SURYANARAYANA MURTHY BADUGU,AMALAPURAM (SC),8,IND,M,ANDHRA PRADESH,1016,527366,514144,836319,63.06
0.16,BONTHU RAMESH BABU,AMALAPURAM (SC),9,IND,M,ANDHRA PRADESH,827,527366,514144,836319,63.06
0.15,RAPAKA JHANSI LAKSHMI BAI (W),AMALAPURAM (SC),10,IND,F,ANDHRA PRADESH,751,527366,514144,836319,63.06
0.07,PRATURI DAMAYAN KUMAR,AMALAPURAM (SC),11,IND,M,ANDHRA PRADESH,377,527366,514144,836319,63.06
51.93,VIJAYAKUMAR RAJU BHUPATHIRAJU,NARASAPUR,1,TDP,M,ANDHRA PRADESH,317703,624696,611748,933575,66.91
42.36,KRISHNAM RAJU,NARASAPUR,2,INC,M,ANDHRA PRADESH,259154,624696,611748,933575,66.91
4.61,KURELLA RANGAYYA NAIDU (CHIRANJEEVI),NARASAPUR,3,BJP,M,ANDHRA PRADESH,28184,624696,611748,933575,66.91
0.32,KOTIKALPUDI PAKEERAIH,NARASAPUR,4,JP,M,ANDHRA PRADESH,1962,624696,611748,933575,66.91
0.21,SANTARAO GUDAPATI,NARASAPUR,5,BSP,M,ANDHRA PRADESH,1314,624696,611748,933575,66.91
0.13,VENKATA RATNAM TEEPARTHY (W),NARASAPUR,6,IND,F,ANDHRA PRADESH,783,624696,611748,933575,66.91
0.11,CHINTAPALLI GURU PRASADA RAO,NARASAPUR,7,IND,M,ANDHRA PRADESH,654,624696,611748,933575,66.91
0.08,GUDDALA SATYANARAYANA,NARASAPUR,8,IND,M,ANDHRA PRADESH,495,624696,611748,933575,66.91
0.07,ALLURI JAGANNADHA RAJU,NARASAPUR,9,IND,M,ANDHRA PRADESH,441,624696,611748,933575,66.91
0.05,RAMABADRI RAJU MANTHENA,NARASAPUR,10,IND,M,ANDHRA PRADESH,328,624696,611748,933575,66.91
0.04,VELURI VENKATA VENU,NARASAPUR,11,IND,M,ANDHRA PRADESH,270,624696,611748,933575,66.91
0.04,VEGESNA BANGAR RAJU,NARASAPUR,12,IND,M,ANDHRA PRADESH,239,624696,611748,933575,66.91
0.04,MANDELA SREERAMA KRISHNA RAO,NARASAPUR,13,MCPI,M,ANDHRA PRADESH,221,624696,611748,933575,66.91
52.45,BOLLA BULLIRAMAIAH,ELURU,1,TDP,M,ANDHRA PRADESH,360312,702949,686959,987245,71.2
45.51,KRISHNA,ELURU,2,INC,M,ANDHRA PRADESH,312657,702949,686959,987245,71.2
0.82,NARSIMHA RAO KORADA,ELURU,3,BJP,M,ANDHRA PRADESH,5607,702949,686959,987245,71.2
0.35,SAGIRAJU SURYANARAYANARAJU,ELURU,4,IND,M,ANDHRA PRADESH,2400,702949,686959,987245,71.2
0.33,KURMANAIDU GEDELA,ELURU,5,JP,M,ANDHRA PRADESH,2255,702949,686959,987245,71.2
0.11,GUDURI SARVESWARA RAO,ELURU,6,IND,M,ANDHRA PRADESH,727,702949,686959,987245,71.2
0.09,BOMMI SIMHACHALAM,ELURU,7,IND,M,ANDHRA PRADESH,640,702949,686959,987245,71.2
0.08,ADUSUMILLI SAROJINI (W),ELURU,8,MCPI,F,ANDHRA PRADESH,570,702949,686959,987245,71.2
0.06,ANGAIJALA SATYANARAYANA,ELURU,9,IND,M,ANDHRA PRADESH,408,702949,686959,987245,71.2
0.05,SIKILE DAVID PRABHAKAR,ELURU,10,IND,M,ANDHRA PRADESH,375,702949,686959,987245,71.2
0.05,ANAPARTI PRAKASA RAO,ELURU,11,IND,M,ANDHRA PRADESH,352,702949,686959,987245,71.2
0.04,KODURI SREERAMULU,ELURU,12,IND,M,ANDHRA PRADESH,247,702949,686959,987245,71.2
0.03,SUNKAVALLI BRAHMANANDAM,ELURU,13,IND,M,ANDHRA PRADESH,213,702949,686959,987245,71.2
0.03,POTLURI VISHNU SANKARA PRASAD,ELURU,14,IND,M,ANDHRA PRADESH,196,702949,686959,987245,71.2
49.02,K.P. REDDAIAH,MACHILIPATNAM,1,TDP,M,ANDHRA PRADESH,298348,619254,608592,908947,68.13
44.53,SAMBASIVA RAO KAVURI,MACHILIPATNAM,2,INC,M,ANDHRA PRADESH,271026,619254,608592,908947,68.13
3.99,KOLLIPARA DHANA LAKSHMI (W),MACHILIPATNAM,3,BJP,F,ANDHRA PRADESH,24260,619254,608592,908947,68.13
0.73,SHIVA SANKARA VEERANJANEYULU THOTAKURA,MACHILIPATNAM,4,IND,M,ANDHRA PRADESH,4420,619254,608592,908947,68.13
0.31,MARUMUDI VITOTOR PRASAD,MACHILIPATNAM,5,BSP,M,ANDHRA PRADESH,1892,619254,608592,908947,68.13
0.17,ATHMURI SUSEELA (W),MACHILIPATNAM,6,IND,F,ANDHRA PRADESH,1047,619254,608592,908947,68.13
0.16,THOTA KRISHNA BIPIN CHANDRA PAL,MACHILIPATNAM,7,JP,M,ANDHRA PRADESH,965,619254,608592,908947,68.13
0.11,KOTA JAYAPAL CHOWDARY,MACHILIPATNAM,8,IND,M,ANDHRA PRADESH,697,619254,608592,908947,68.13
0.11,ANAM RADHAKRISHNA MURTHY,MACHILIPATNAM,9,IND,M,ANDHRA PRADESH,667,619254,608592,908947,68.13
0.1,MUNAGALA TIRUPATI REDDI,MACHILIPATNAM,10,IND,M,ANDHRA PRADESH,615,619254,608592,908947,68.13
0.08,KUNAPAREDDY PITCHESWARA RAO,MACHILIPATNAM,11,IND,M,ANDHRA PRADESH,497,619254,608592,908947,68.13
0.08,VENKATESWARARAO KAMINENI,MACHILIPATNAM,12,NBP,M,ANDHRA PRADESH,487,619254,608592,908947,68.13
0.08,DODDA KAMESWARA RAO,MACHILIPATNAM,13,IND,M,ANDHRA PRADESH,482,619254,608592,908947,68.13
0.07,KETHE MADHAVA CHAKRADHARA RAO,MACHILIPATNAM,14,IND,M,ANDHRA PRADESH,428,619254,608592,908947,68.13
0.06,KANDIMALLA VEERA RAGHAIAH,MACHILIPATNAM,15,IND,M,ANDHRA PRADESH,381,619254,608592,908947,68.13
0.06,BHAVANI SANKARA RAO KIRLAMPALLI,MACHILIPATNAM,16,IND,M,ANDHRA PRADESH,372,619254,608592,908947,68.13
0.05,YENDURI SUBRAHMANYES WARA RAO,MACHILIPATNAM,17,IND,M,ANDHRA PRADESH,308,619254,608592,908947,68.13
0.05,BADUGU BABU RAO,MACHILIPATNAM,18,IND,M,ANDHRA PRADESH,306,619254,608592,908947,68.13
0.04,MANEYPALLI NAGA SITA RAMANJANEYULU,MACHILIPATNAM,19,IND,M,ANDHRA PRADESH,253,619254,608592,908947,68.13
0.04,SALAPATI LAKSHMIPATI,MACHILIPATNAM,20,IND,M,ANDHRA PRADESH,227,619254,608592,908947,68.13
0.03,YELLAMRAJU GANAPATHI BOSE,MACHILIPATNAM,21,IND,M,ANDHRA PRADESH,203,619254,608592,908947,68.13
0.03,PANDALANENI SRIMANNARAYANA,MACHILIPATNAM,22,IND,M,ANDHRA PRADESH,198,619254,608592,908947,68.13
0.03,PAPPALA RADHA KRISHNA,MACHILIPATNAM,23,IND,M,ANDHRA PRADESH,182,619254,608592,908947,68.13
0.03,VENKATA NACHARAIAH TADIKONDA,MACHILIPATNAM,24,IND,M,ANDHRA PRADESH,179,619254,608592,908947,68.13
0.02,KOTE DEVANANDAM,MACHILIPATNAM,25,IND,M,ANDHRA PRADESH,152,619254,608592,908947,68.13
48.89,VADDE SOBHANDRESWARA RAO,VIJAYAWADA,1,TDP,M,ANDHRA PRADESH,326890,682314,668647,1104724,61.76
43.47,CHENNUPATI VIDYA (W),VIJAYAWADA,2,INC,F,ANDHRA PRADESH,290669,682314,668647,1104724,61.76
4.19,VELAGAPUDI SIVA PRASAD,VIJAYAWADA,3,BJP,M,ANDHRA PRADESH,28010,682314,668647,1104724,61.76
1.74,JOGI RAMAKRISHNA,VIJAYAWADA,4,IND,M,ANDHRA PRADESH,11657,682314,668647,1104724,61.76
0.28,PADAMATA BRAHMAIAH,VIJAYAWADA,5,BSP,M,ANDHRA PRADESH,1872,682314,668647,1104724,61.76
0.25,YALAMANCHILI RAMA KRISHNA,VIJAYAWADA,6,IND,M,ANDHRA PRADESH,1669,682314,668647,1104724,61.76
0.24,YARLAGADDA KRISHNA MURTHY,VIJAYAWADA,7,IND,M,ANDHRA PRADESH,1592,682314,668647,1104724,61.76
0.18,Y.V. HANUMANTHA RAO,VIJAYAWADA,8,JP,M,ANDHRA PRADESH,1181,682314,668647,1104724,61.76
0.16,VIJAYA VENKATA RAO VELLANKI,VIJAYAWADA,9,IND,M,ANDHRA PRADESH,1072,682314,668647,1104724,61.76
0.12,MOHEMMAD GHOUSE,VIJAYAWADA,10,IND,M,ANDHRA PRADESH,773,682314,668647,1104724,61.76
0.11,VAGICHERLA HARI NARAYANA,VIJAYAWADA,11,IND,M,ANDHRA PRADESH,724,682314,668647,1104724,61.76
0.1,KOMMINENI SAMBASIVA RAO ALIAS BADE SAMBASIVA RAO,VIJAYAWADA,12,IND,M,ANDHRA PRADESH,693,682314,668647,1104724,61.76
0.08,KRISTU BHAGAVANDAS NETHALA,VIJAYAWADA,13,IND,M,ANDHRA PRADESH,558,682314,668647,1104724,61.76
0.05,KOTA SANKARA SHARMA,VIJAYAWADA,14,IND,M,ANDHRA PRADESH,356,682314,668647,1104724,61.76
0.04,KALAPALA PRAKASH RAO,VIJAYAWADA,15,NBP,M,ANDHRA PRADESH,300,682314,668647,1104724,61.76
0.04,YALAMARTHI SATYANARAYANA,VIJAYAWADA,16,MSD,M,ANDHRA PRADESH,281,682314,668647,1104724,61.76
0.03,KUNUKU SATYANARAYANA,VIJAYAWADA,17,IND,M,ANDHRA PRADESH,186,682314,668647,1104724,61.76
0.02,MOSES BOPPURI,VIJAYAWADA,18,BKUS,M,ANDHRA PRADESH,164,682314,668647,1104724,61.76
47.74,UMMAREDDY VENKATESWARLU,TENALI,1,TDP,M,ANDHRA PRADESH,252900,539963,529738,888033,60.8
45.82,BASAVAPUNNAIAH SINGAM,TENALI,2,INC,M,ANDHRA PRADESH,242729,539963,529738,888033,60.8
4.8,ALLA NAUROJI REDDY,TENALI,3,BJP,M,ANDHRA PRADESH,25434,539963,529738,888033,60.8
1.1,OTTIPROLU JOHNSON,TENALI,4,IND,M,ANDHRA PRADESH,5845,539963,529738,888033,60.8
0.23,NEMALIKANTI RUTHU (W),TENALI,5,BSP,F,ANDHRA PRADESH,1224,539963,529738,888033,60.8
0.15,KONDAMUDI RAJASEKHAR,TENALI,6,IND,M,ANDHRA PRADESH,785,539963,529738,888033,60.8
0.07,KAMARAJUGADDA SRINIVAS,TENALI,7,IND,M,ANDHRA PRADESH,377,539963,529738,888033,60.8
0.05,RACHABATHUNI SRIGIRIMURTHY,TENALI,8,IND,M,ANDHRA PRADESH,251,539963,529738,888033,60.8
0.04,AMERIENENI VEERARAGHAVAIAH,TENALI,9,IND,M,ANDHRA PRADESH,193,539963,529738,888033,60.8
47.55,LAL JAN BASHA S.M.,GUNTUR,1,TDP,M,ANDHRA PRADESH,307073,658179,645726,1114537,59.05
45.27,N.G. RANGA,GUNTUR,2,INC,M,ANDHRA PRADESH,292329,658179,645726,1114537,59.05
3.88,HANUMANTHA RAO MUDDANA,GUNTUR,3,BJP,M,ANDHRA PRADESH,25049,658179,645726,1114537,59.05
1.41,GUDAPATI VENKATESWARLU,GUNTUR,4,IND,M,ANDHRA PRADESH,9077,658179,645726,1114537,59.05
0.27,ANKAIAH MEDURI,GUNTUR,5,JP,M,ANDHRA PRADESH,1742,658179,645726,1114537,59.05
0.25,UPPUTHOLLA JANAKI RAJU,GUNTUR,6,BSP,M,ANDHRA PRADESH,1644,658179,645726,1114537,59.05
0.22,LANKA RAMA MOHANA RAO,GUNTUR,7,IND,M,ANDHRA PRADESH,1447,658179,645726,1114537,59.05
0.22,SIKHA RAJA GOPALA RAO,GUNTUR,8,IND,M,ANDHRA PRADESH,1435,658179,645726,1114537,59.05
0.14,CHILUKA THEOPHILUS,GUNTUR,9,IND,M,ANDHRA PRADESH,930,658179,645726,1114537,59.05
0.11,GAZULA SRAVAN KUMAR,GUNTUR,10,IND,M,ANDHRA PRADESH,712,658179,645726,1114537,59.05
0.09,KASU RADHA KRISHNA REDDY,GUNTUR,11,RPK,M,ANDHRA PRADESH,569,658179,645726,1114537,59.05
0.09,KANNA SURYANARAYANA,GUNTUR,12,IND,M,ANDHRA PRADESH,568,658179,645726,1114537,59.05
0.08,GANGADHARA KOTESWARA RAO DIDUGU,GUNTUR,13,IND,M,ANDHRA PRADESH,512,658179,645726,1114537,59.05
0.08,TANNEERU SEETHA RAMAIAH,GUNTUR,14,IND,M,ANDHRA PRADESH,491,658179,645726,1114537,59.05
0.06,ABDUL RAHEEM BAIG,GUNTUR,15,IND,M,ANDHRA PRADESH,408,658179,645726,1114537,59.05
0.06,SHAIK HUSSAIN,GUNTUR,16,IND,M,ANDHRA PRADESH,391,658179,645726,1114537,59.05
0.06,BATTULA MOHANRAO,GUNTUR,17,IND,M,ANDHRA PRADESH,368,658179,645726,1114537,59.05
0.05,SUBBARAO P.,GUNTUR,18,IND,M,ANDHRA PRADESH,349,658179,645726,1114537,59.05
0.05,JANAMALA BRAHMAIH,GUNTUR,19,IND,M,ANDHRA PRADESH,330,658179,645726,1114537,59.05
0.04,THOTAKURA CHENCHIAH,GUNTUR,20,IND,M,ANDHRA PRADESH,241,658179,645726,1114537,59.05
0.01,JACOB DHANARAJ,GUNTUR,21,IND,M,ANDHRA PRADESH,61,658179,645726,1114537,59.05
46.82,VENKATESWARA RAO DAGGUBATI,BAPATLA,1,TDP,M,ANDHRA PRADESH,285778,623289,610418,999363,62.37
46.64,SALAGALA BENJAMIN,BAPATLA,2,INC,M,ANDHRA PRADESH,284681,623289,610418,999363,62.37
2.99,CHANDRA SEKHARA RAO NASANA,BAPATLA,3,BJP,M,ANDHRA PRADESH,18222,623289,610418,999363,62.37
1.27,CHALLAGALI KOTAMMARAJU,BAPATLA,4,IND,M,ANDHRA PRADESH,7737,623289,610418,999363,62.37
0.58,MECHANIC NAYUDU,BAPATLA,5,IND,M,ANDHRA PRADESH,3549,623289,610418,999363,62.37
0.23,KISHORE JASTI,BAPATLA,6,IND,M,ANDHRA PRADESH,1391,623289,610418,999363,62.37
0.19,PALLAPOTHU SREE NIVASA RAO,BAPATLA,7,JP,M,ANDHRA PRADESH,1154,623289,610418,999363,62.37
0.11,SK. BABULLA,BAPATLA,8,IND,M,ANDHRA PRADESH,670,623289,610418,999363,62.37
0.1,VELIDI SIVA RAMA PRASAD,BAPATLA,9,IND,M,ANDHRA PRADESH,582,623289,610418,999363,62.37
0.09,TALLURI ANKAMMA,BAPATLA,10,IND,M,ANDHRA PRADESH,536,623289,610418,999363,62.37
0.09,KOLLA SUBHASH BABU,BAPATLA,11,IND,M,ANDHRA PRADESH,527,623289,610418,999363,62.37
0.08,SAVA VENKATA SUBBIAH,BAPATLA,12,IND,M,ANDHRA PRADESH,512,623289,610418,999363,62.37
0.08,R. SANGEETHA RAO,BAPATLA,13,SSD,M,ANDHRA PRADESH,474,623289,610418,999363,62.37
0.07,MEDIKONDA SEKHARA RAO,BAPATLA,14,IND,M,ANDHRA PRADESH,456,623289,610418,999363,62.37
0.07,CHEBROLU RAMA MOHANA RAO,BAPATLA,15,IND,M,ANDHRA PRADESH,428,623289,610418,999363,62.37
0.07,KANCHERAL PRAKASA RAO,BAPATLA,16,BSP,M,ANDHRA PRADESH,404,623289,610418,999363,62.37
0.06,GOLI RATHANKUMAR,BAPATLA,17,IND,M,ANDHRA PRADESH,391,623289,610418,999363,62.37
0.06,DATTATREYA K. KANNAIAH,BAPATLA,18,IND,M,ANDHRA PRADESH,374,623289,610418,999363,62.37
0.06,GATTU UNAMAHESWARA RAO,BAPATLA,19,IND,M,ANDHRA PRADESH,372,623289,610418,999363,62.37
0.06,ATCHUKOLU VENKAYAMMA (W),BAPATLA,20,IND,F,ANDHRA PRADESH,367,623289,610418,999363,62.37
0.06,CHALLAGUNDLA SURYANARAYANA,BAPATLA,21,IND,M,ANDHRA PRADESH,343,623289,610418,999363,62.37
0.05,BATHULA RAMA MOHANA RAO,BAPATLA,22,IND,M,ANDHRA PRADESH,319,623289,610418,999363,62.37
0.05,VUTUKURI VENKATESWARLU,BAPATLA,23,IND,M,ANDHRA PRADESH,314,623289,610418,999363,62.37
0.04,MUPPALLA SATYANARAYANA,BAPATLA,24,IND,M,ANDHRA PRADESH,231,623289,610418,999363,62.37
0.03,KANDUKURI UMAPATHY SRI RAMULU PAMULA,BAPATLA,25,IND,M,ANDHRA PRADESH,204,623289,610418,999363,62.37
0.03,SRI RAMULU PAMULA,BAPATLA,26,IND,M,ANDHRA PRADESH,176,623289,610418,999363,62.37
