%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
42.6,VISWANDHAM KANITHI,SRIKAKULAM,1,INC,M,ANDHRA PRADESH,235641,568263,553129,860855,66.01
37.78,APPAYYADORA HANUMANTHLI,SRIKAKULAM,2,TDP,M,ANDHRA PRADESH,208977,568263,553129,860855,66.01
15.06,KINJARAPU YERRANNAIDU,SRIKAKULAM,3,IND,M,ANDHRA PRADESH,83292,568263,553129,860855,66.01
1.96,ATTADA APPALANAIDU,SRIKAKULAM,4,BJP,M,ANDHRA PRADESH,10823,568263,553129,860855,66.01
1.05,ATLA APPOJAMMA (W),SRIKAKULAM,5,IND,F,ANDHRA PRADESH,5794,568263,553129,860855,66.01
0.91,KINJARAPU RAMAMOHANNAIDU,SRIKAKULAM,6,IND,M,ANDHRA PRADESH,5022,568263,553129,860855,66.01
0.51,LABHALA LOKESHWARA RAO,SRIKAKULAM,7,JP,M,ANDHRA PRADESH,2818,568263,553129,860855,66.01
0.14,TARA SURYANARAYANA,SRIKAKULAM,8,IND,M,ANDHRA PRADESH,762,568263,553129,860855,66.01
53.01,VIJAYARAMARAJU SATRUCHARLA,PARVATHIPURAM (ST),1,INC,M,ANDHRA PRADESH,279415,542247,527125,810069,66.94
43.61,KISHORE CHANDRA SURYANARAYANADEO VIRICHERLA,PARVATHIPURAM (ST),2,ICS(SCS),M,ANDHRA PRADESH,229903,542247,527125,810069,66.94
2.41,ARIKA GUMPASWAMMY,PARVATHIPURAM (ST),3,IND,M,ANDHRA PRADESH,12702,542247,527125,810069,66.94
0.97,AYODHYA NIMMAKA,PARVATHIPURAM (ST),4,IND,M,ANDHRA PRADESH,5105,542247,527125,810069,66.94
49.59,ANANDA GAJAPATHI RAJU POOSAPATHI,BOBBILI,1,INC,M,ANDHRA PRADESH,280335,583131,565289,863311,67.55
44.62,KEMBURU RAMA MOHANA RAO,BOBBILI,2,TDP,M,ANDHRA PRADESH,252211,583131,565289,863311,67.55
2.61,PAKA RAJA RAO,BOBBILI,3,BJP,M,ANDHRA PRADESH,14745,583131,565289,863311,67.55
1.94,GOTTAPU APPALA NAIDU,BOBBILI,4,IND,M,ANDHRA PRADESH,10965,583131,565289,863311,67.55
0.54,BOTCHA RAMULU,BOBBILI,5,IND,M,ANDHRA PRADESH,3028,583131,565289,863311,67.55
0.24,PABBINEEDU VENKATESWARA RAO,BOBBILI,6,IND,M,ANDHRA PRADESH,1350,583131,565289,863311,67.55
0.21,APPARAO GUDIVADA,BOBBILI,7,IND,M,ANDHRA PRADESH,1173,583131,565289,863311,67.55
0.16,VENKATARAO MESSALA,BOBBILI,8,IND,M,ANDHRA PRADESH,891,583131,565289,863311,67.55
0.1,SOMU SREENIVASA RAO,BOBBILI,9,IND,M,ANDHRA PRADESH,591,583131,565289,863311,67.55
45.82,M.V.V.S. MURTHI,VISAKHAPATNAM,1,TDP,M,ANDHRA PRADESH,289793,649981,632502,1081726,60.09
45.0,UMA GAJAPATHIRAJU (W),VISAKHAPATNAM,2,INC,F,ANDHRA PRADESH,284655,649981,632502,1081726,60.09
6.28,CHALAPATHI RAO P.V.,VISAKHAPATNAM,3,BJP,M,ANDHRA PRADESH,39731,649981,632502,1081726,60.09
0.99,GOLLAKOTI VISHNU MURTHY,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,6248,649981,632502,1081726,60.09
0.38,MALLA SATTANARAYANA,VISAKHAPATNAM,5,JP,M,ANDHRA PRADESH,2417,649981,632502,1081726,60.09
0.34,BHEEMARASETTI VISWANATHAM,VISAKHAPATNAM,6,BSP,M,ANDHRA PRADESH,2173,649981,632502,1081726,60.09
0.29,MAMIDI SOMINAIDU,VISAKHAPATNAM,7,IND,M,ANDHRA PRADESH,1832,649981,632502,1081726,60.09
0.27,JOGA VENKATARAMANA YADAV,VISAKHAPATNAM,8,IND,M,ANDHRA PRADESH,1714,649981,632502,1081726,60.09
0.19,PARISA VENKATANARAYANA,VISAKHAPATNAM,9,IND,M,ANDHRA PRADESH,1221,649981,632502,1081726,60.09
0.18,PALURI SESHUMAMBA (W),VISAKHAPATNAM,10,IND,F,ANDHRA PRADESH,1167,649981,632502,1081726,60.09
0.13,N.V. RAJU,VISAKHAPATNAM,11,IND,M,ANDHRA PRADESH,812,649981,632502,1081726,60.09
0.12,MANTHENA KRISHAN MURTHYRAJU,VISAKHAPATNAM,12,IND,M,ANDHRA PRADESH,739,649981,632502,1081726,60.09
48.23,KARREDDULA KAMALAKUMARI (W),BHADRACHALAM (ST),1,INC,F,ANDHRA PRADESH,238956,519063,495470,945933,54.87
39.31,RAMAIAH SODE,BHADRACHALAM (ST),2,CPI,M,ANDHRA PRADESH,194785,519063,495470,945933,54.87
3.92,GORLE DHANUNJAYA RAJU,BHADRACHALAM (ST),3,BJP,M,ANDHRA PRADESH,19428,519063,495470,945933,54.87
3.4,BONKU PRABHAKARA RAO,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,16847,519063,495470,945933,54.87
1.84,KURSAM ACHAIAH,BHADRACHALAM (ST),5,IND,M,ANDHRA PRADESH,9122,519063,495470,945933,54.87
1.36,BAPANNA DORA,BHADRACHALAM (ST),6,BSP,M,ANDHRA PRADESH,6731,519063,495470,945933,54.87
0.77,BAKURU KONDABABU,BHADRACHALAM (ST),7,IND,M,ANDHRA PRADESH,3812,519063,495470,945933,54.87
0.64,JANSHI (W),BHADRACHALAM (ST),8,IND,F,ANDHRA PRADESH,3185,519063,495470,945933,54.87
